dataset,montage,subject,seed,n_channels,best_arm_kappa,best_arm_accuracy,best_arm_id,best_arm_spatial,n_arms_surviving,n_test,error
WAUC,full,40,1,8,0.1444444444444445,0.5722222222222222,43,identity,96,180,
WAUC,full,40,2,8,0.4,0.7,0,csp,96,180,
WAUC,full,40,3,8,0.24444444444444446,0.6222222222222222,6,identity,94,180,
WAUC,full,40,42,8,0.25555555555555554,0.6277777777777778,26,csp,98,180,
WAUC,full,41,0,8,0.48913043478260865,0.7445652173913043,30,identity,100,184,
WAUC,full,41,1,8,0.5978260869565217,0.7989130434782609,0,csp,100,184,
WAUC,full,41,2,8,0.6304347826086957,0.8152173913043478,0,csp,100,184,
WAUC,full,41,3,8,0.6413043478260869,0.8206521739130435,24,csp,100,184,
WAUC,full,41,42,8,0.7282608695652174,0.8641304347826086,24,csp,100,184,
WAUC,full,42,0,8,0.4090419806243273,0.7049180327868853,1,csp,100,183,
WAUC,full,42,1,8,0.15969944540521197,0.5792349726775956,78,identity,88,183,
WAUC,full,42,2,8,0.1586960415547196,0.5792349726775956,42,identity,84,183,
WAUC,full,42,3,8,0.27875313507703336,0.639344262295082,0,csp,74,183,
WAUC,full,42,42,8,0.2893840731226477,0.644808743169399,2,csp,96,183,
WAUC,full,43,0,8,0.3221412355120086,0.6612021857923497,18,identity,100,183,
WAUC,full,43,1,8,0.5961710502773305,0.7978142076502732,36,csp,100,183,
WAUC,full,43,2,8,0.48635413556285456,0.7431693989071039,24,csp,100,183,
WAUC,full,43,3,8,0.650346310007165,0.825136612021858,60,csp,100,183,
WAUC,full,43,42,8,0.3884711779448621,0.6939890710382514,78,identity,100,183,
WAUC,full,44,0,8,0.11956521739130432,0.5597826086956522,90,identity,62,184,
WAUC,full,44,1,8,0.08695652173913049,0.5434782608695652,37,csp,72,184,
WAUC,full,44,2,8,0.08695652173913049,0.5434782608695652,61,csp,76,184,
WAUC,full,44,3,8,0.21739130434782605,0.6086956521739131,96,csp,58,184,
WAUC,full,44,42,8,0.18478260869565222,0.592391304347826,96,csp,94,184,
WAUC,full,45,0,8,0.20853351635781292,0.6042780748663101,54,identity,100,187,
WAUC,full,45,1,8,0.4228395061728395,0.7112299465240641,60,csp,100,187,
WAUC,full,45,2,8,0.19861722187303588,0.5989304812834224,24,csp,100,187,
WAUC,full,45,3,8,0.19724114246465563,0.5989304812834224,38,csp,94,187,
WAUC,full,45,42,8,0.40132632060370454,0.7005347593582888,60,csp,100,187,
WAUC,full,46,0,8,0.32411924119241187,0.6627906976744186,90,identity,96,172,
WAUC,full,46,1,8,0.3741239892183288,0.686046511627907,84,csp,100,172,
WAUC,full,46,2,8,0.4542263029975695,0.7267441860465116,90,identity,100,172,
WAUC,full,46,3,8,0.4421621621621622,0.7209302325581395,72,csp,100,172,
WAUC,full,46,42,8,0.346717308735757,0.6744186046511628,104,identity,70,172,
WAUC,full,47,0,8,0.967741935483871,0.9838709677419355,0,csp,100,62,
WAUC,full,47,1,8,0.935483870967742,0.967741935483871,0,csp,100,62,
WAUC,full,47,2,8,0.935483870967742,0.967741935483871,0,csp,100,62,
WAUC,full,47,3,8,0.967741935483871,0.9838709677419355,24,csp,100,62,
WAUC,full,47,42,8,0.967741935483871,0.9838709677419355,0,csp,100,62,
WAUC,full,48,0,8,,,-1,,0,0,"y should be a 1d array with more than two classes, but got 1 class from ['low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low'
 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low'
 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low'
 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low']"
WAUC,full,48,1,8,,,-1,,0,0,"y should be a 1d array with more than two classes, but got 1 class from ['low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low'
 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low'
 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low'
 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low']"
WAUC,full,48,2,8,,,-1,,0,0,"y should be a 1d array with more than two classes, but got 1 class from ['low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low'
 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low'
 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low'
 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low']"
WAUC,full,48,3,8,,,-1,,0,0,"y should be a 1d array with more than two classes, but got 1 class from ['low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low'
 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low'
 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low'
 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low']"
WAUC,full,48,42,8,,,-1,,0,0,"y should be a 1d array with more than two classes, but got 1 class from ['low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low'
 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low'
 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low'
 'low' 'low' 'low' 'low' 'low' 'low' 'low' 'low']"
