dataset,montage,subject,seed,n_channels,best_arm_kappa,best_arm_accuracy,best_arm_id,best_arm_spatial,n_arms_surviving,n_test,error
UAB,nearear,8,2,2,0.2121369294605808,0.4731182795698925,96,csp,100,186,
UAB,nearear,8,3,2,0.3944786873860578,0.5967741935483871,0,csp,100,186,
UAB,nearear,8,42,2,0.2572271898602309,0.5053763440860215,78,identity,100,186,
UAB,nearear,9,0,2,0.2454940139455333,0.4972972972972973,6,identity,100,185,
UAB,nearear,9,1,2,0.3023459767594826,0.5351351351351351,48,csp,100,185,
UAB,nearear,9,2,2,0.3271253286590709,0.5513513513513514,37,csp,100,185,
UAB,nearear,9,3,2,0.3429072571804429,0.5621621621621622,36,csp,100,185,
UAB,nearear,9,42,2,0.4892414216223323,0.6594594594594595,66,identity,100,185,
UAB,nearear,10,0,2,0.3218185972127028,0.5469613259668509,0,csp,100,181,
UAB,nearear,10,1,2,0.4028318746276863,0.6022099447513812,102,identity,100,181,
UAB,nearear,10,2,2,0.4281593406593406,0.6187845303867403,84,csp,100,181,
UAB,nearear,10,3,2,0.337208770082849,0.5580110497237569,78,identity,100,181,
UAB,nearear,10,42,2,0.1631111518036989,0.4419889502762431,73,csp,100,181,
UAB,nearear,11,0,2,0.5597810429271104,0.7068062827225131,96,csp,100,191,
UAB,nearear,11,1,2,0.5133557984712747,0.675392670157068,30,identity,100,191,
UAB,nearear,11,2,2,0.5832955995554274,0.7225130890052356,54,identity,100,191,
UAB,nearear,11,3,2,0.560450398619216,0.7068062827225131,78,identity,100,191,
UAB,nearear,11,42,2,0.5919138795299531,0.7277486910994765,48,csp,100,191,
UAB,nearear,12,0,2,0.4929530481194228,0.6631578947368421,96,csp,100,190,
UAB,nearear,12,1,2,0.5732823157544502,0.7157894736842105,90,identity,100,190,
UAB,nearear,12,2,2,0.4934177637060489,0.6631578947368421,96,csp,100,190,
UAB,nearear,12,3,2,0.3329432416617904,0.5578947368421052,36,csp,100,190,
UAB,nearear,12,42,2,0.5186477282166293,0.6789473684210526,72,csp,100,190,
UAB,nearear,13,0,2,0.2563480923822891,0.5053191489361702,18,identity,100,188,
UAB,nearear,13,1,2,0.2875755769394533,0.526595744680851,12,csp,92,188,
UAB,nearear,13,2,2,0.4407377502018613,0.6276595744680851,96,csp,100,188,
UAB,nearear,13,3,2,0.3813939575231827,0.5904255319148937,84,csp,94,188,
UAB,nearear,13,42,2,0.407520974404838,0.6063829787234043,18,identity,100,188,
UAB,nearear,14,0,2,0.1188730537935579,0.4136125654450261,0,csp,78,191,
UAB,nearear,14,1,2,0.2302820955670697,0.4869109947643979,0,csp,100,191,
UAB,nearear,14,2,2,0.1507965913301221,0.4345549738219895,97,csp,82,191,
UAB,nearear,14,3,2,0.1679270096991616,0.4450261780104712,72,csp,98,191,
UAB,nearear,14,42,2,0.0733111302989185,0.3821989528795811,80,identity,74,191,
UAB,nearear,15,0,2,0.3936870382807254,0.5956284153005464,78,identity,100,183,
UAB,nearear,15,1,2,0.2053451517593338,0.4699453551912568,48,csp,98,183,
UAB,nearear,15,2,2,0.3461950696677385,0.5628415300546448,0,csp,100,183,
UAB,nearear,15,3,2,0.3285004698617263,0.5519125683060109,72,csp,100,183,
UAB,nearear,15,42,2,0.4828189485017046,0.6557377049180327,72,csp,100,183,
UAB,nearear,16,0,2,0.7205707491082045,0.8138297872340425,54,identity,100,188,
UAB,nearear,16,1,2,0.6169128884360673,0.7446808510638298,54,identity,100,188,
UAB,nearear,16,2,2,0.7525475543478262,0.8351063829787234,54,identity,100,188,
UAB,nearear,16,3,2,0.7042265498766902,0.8031914893617021,42,identity,100,188,
UAB,nearear,16,42,2,0.6084665079904794,0.7393617021276596,66,identity,100,188,
COGBCI,full,1,0,62,0.85,0.9,69,identity,100,60,
COGBCI,full,1,1,62,0.9,0.9333333333333332,57,identity,100,60,
COGBCI,full,1,2,62,0.8493093344495605,0.9,69,identity,100,60,
COGBCI,full,1,3,62,0.9248747913188649,0.95,83,identity,100,60,
COGBCI,full,1,42,62,0.899874843554443,0.9333333333333332,107,identity,100,60,
COGBCI,full,2,0,62,0.75,0.8333333333333334,34,identity,96,60,
COGBCI,full,2,1,62,0.975,0.9833333333333332,58,identity,100,60,
COGBCI,full,2,2,62,0.875,0.9166666666666666,46,identity,100,60,
COGBCI,full,2,3,62,0.875,0.9166666666666666,58,identity,100,60,
COGBCI,full,2,42,62,0.925,0.95,33,identity,100,60,
COGBCI,full,3,0,62,0.8280998389694042,0.8852459016393442,81,identity,100,61,
COGBCI,full,3,1,62,0.950846091861402,0.9672131147540984,81,identity,100,61,
COGBCI,full,3,2,62,0.8286516853932584,0.8852459016393442,81,identity,100,61,
COGBCI,full,3,3,62,0.950846091861402,0.9672131147540984,93,identity,99,61,
COGBCI,full,3,42,62,0.9753634894991924,0.9836065573770492,96,csp,100,61,
COGBCI,full,4,0,62,0.9,0.9333333333333332,72,csp,100,60,
COGBCI,full,4,1,62,0.875,0.9166666666666666,0,csp,99,60,
COGBCI,full,4,2,62,0.95,0.9666666666666668,84,csp,100,60,
COGBCI,full,4,3,62,0.95,0.9666666666666668,93,identity,98,60,
COGBCI,full,4,42,62,0.975,0.9833333333333332,36,csp,100,60,
COGBCI,full,5,0,62,0.6580645161290323,0.7735849056603774,72,csp,99,53,
COGBCI,full,5,1,62,0.8304904051172708,0.8867924528301887,93,identity,100,53,
COGBCI,full,5,2,62,0.7732620320855614,0.8490566037735849,107,identity,98,53,
COGBCI,full,5,3,62,0.5744111349036403,0.7169811320754716,95,identity,97,53,
COGBCI,full,5,42,62,0.7456,0.8301886792452831,57,identity,87,53,
COGBCI,full,6,0,62,0.5882352941176471,0.7254901960784313,33,identity,93,51,
COGBCI,full,6,1,62,0.6176470588235294,0.7450980392156863,105,identity,100,51,
COGBCI,full,6,2,62,0.5588235294117647,0.7058823529411765,59,identity,92,51,
COGBCI,full,6,3,62,0.6764705882352942,0.7843137254901961,81,identity,96,51,
COGBCI,full,6,42,62,0.6176470588235294,0.7450980392156863,81,identity,95,51,
COGBCI,full,7,0,62,0.9422863485016648,0.9615384615384616,36,csp,100,52,
COGBCI,full,7,1,62,0.942318358291736,0.9615384615384616,105,identity,76,52,
COGBCI,full,7,2,62,0.9422543031649084,0.9615384615384616,93,identity,100,52,
COGBCI,full,7,3,62,0.884636716583472,0.9230769230769232,93,identity,97,52,
