dataset,subject,protocol,fold_name,seed,alpha,calibration_frac,window_size,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,n_channels,n_trials_total
Cho2017-3ch,32,within,within_fold0,42,0.5,0.3,50,0.1999999999999999,0.6,40,58,112,3,200
Cho2017-3ch,34,within,within_fold0,0,0.5,0.3,50,0.05,0.525,40,44,112,3,200
Cho2017-3ch,34,within,within_fold0,1,0.5,0.3,50,0.1999999999999999,0.6,40,48,112,3,200
Cho2017-3ch,34,within,within_fold0,2,0.5,0.3,50,0.0999999999999999,0.55,40,58,112,3,200
Cho2017-3ch,34,within,within_fold0,3,0.5,0.3,50,0.0999999999999999,0.55,40,50,112,3,200
Cho2017-3ch,34,within,within_fold0,42,0.5,0.3,50,-0.1,0.45,40,34,112,3,200
Cho2017-3ch,35,within,within_fold0,0,0.5,0.3,50,0.05,0.525,40,42,112,3,200
Cho2017-3ch,35,within,within_fold0,1,0.5,0.3,50,0.0999999999999999,0.55,40,74,112,3,200
Cho2017-3ch,35,within,within_fold0,2,0.5,0.3,50,0.35,0.675,40,66,112,3,200
Cho2017-3ch,35,within,within_fold0,3,0.5,0.3,50,0.25,0.625,40,56,112,3,200
Cho2017-3ch,35,within,within_fold0,42,0.5,0.3,50,0.55,0.775,40,60,112,3,200
Cho2017-3ch,36,within,within_fold0,0,0.5,0.3,50,0.0999999999999999,0.55,40,14,112,3,200
Cho2017-3ch,36,within,within_fold0,1,0.5,0.3,50,0.1999999999999999,0.6,40,34,112,3,200
Cho2017-3ch,36,within,within_fold0,2,0.5,0.3,50,0.05,0.525,40,44,112,3,200
Cho2017-3ch,36,within,within_fold0,3,0.5,0.3,50,-0.25,0.375,40,58,112,3,200
Cho2017-3ch,36,within,within_fold0,42,0.5,0.3,50,0.0999999999999999,0.55,40,46,112,3,200
Cho2017-3ch,37,within,within_fold0,0,0.5,0.3,50,0.1999999999999999,0.6,40,56,112,3,200
Cho2017-3ch,37,within,within_fold0,1,0.5,0.3,50,-0.25,0.375,40,52,112,3,200
Cho2017-3ch,37,within,within_fold0,2,0.5,0.3,50,0.3,0.65,40,52,112,3,200
Cho2017-3ch,37,within,within_fold0,3,0.5,0.3,50,0.05,0.525,40,36,112,3,200
Cho2017-3ch,37,within,within_fold0,42,0.5,0.3,50,0.3,0.65,40,58,112,3,200
Cho2017-3ch,38,within,within_fold0,0,0.5,0.3,50,-0.1999999999999999,0.4,40,14,112,3,200
Cho2017-3ch,38,within,within_fold0,1,0.5,0.3,50,0.0,0.5,40,38,112,3,200
Cho2017-3ch,38,within,within_fold0,2,0.5,0.3,50,0.0,0.5,40,42,112,3,200
Cho2017-3ch,38,within,within_fold0,3,0.5,0.3,50,0.05,0.525,40,50,112,3,200
Cho2017-3ch,38,within,within_fold0,42,0.5,0.3,50,0.05,0.525,40,44,112,3,200
Cho2017-3ch,39,within,within_fold0,0,0.5,0.3,50,0.05,0.525,40,30,112,3,200
Cho2017-3ch,39,within,within_fold0,1,0.5,0.3,50,0.25,0.625,40,46,112,3,200
Cho2017-3ch,39,within,within_fold0,2,0.5,0.3,50,0.0,0.5,40,36,112,3,200
Cho2017-3ch,39,within,within_fold0,3,0.5,0.3,50,0.0999999999999999,0.55,40,50,112,3,200
Cho2017-3ch,39,within,within_fold0,42,0.5,0.3,50,0.0999999999999999,0.55,40,40,112,3,200
Cho2017-3ch,40,within,within_fold0,0,0.5,0.3,50,0.0,0.5,40,38,112,3,200
Cho2017-3ch,40,within,within_fold0,1,0.5,0.3,50,0.3,0.65,40,22,112,3,200
Cho2017-3ch,40,within,within_fold0,2,0.5,0.3,50,-0.1499999999999999,0.425,40,26,112,3,200
Cho2017-3ch,40,within,within_fold0,3,0.5,0.3,50,0.05,0.525,40,38,112,3,200
Cho2017-3ch,40,within,within_fold0,42,0.5,0.3,50,-0.25,0.375,40,54,112,3,200
Cho2017-3ch,41,within,within_fold0,0,0.5,0.3,50,-0.05,0.475,40,24,112,3,200
Cho2017-3ch,41,within,within_fold0,1,0.5,0.3,50,0.4,0.7,40,36,112,3,200
Cho2017-3ch,41,within,within_fold0,2,0.5,0.3,50,-0.25,0.375,40,40,112,3,200
Cho2017-3ch,41,within,within_fold0,3,0.5,0.3,50,0.0,0.5,40,42,112,3,200
Cho2017-3ch,41,within,within_fold0,42,0.5,0.3,50,0.15,0.575,40,34,112,3,200
Cho2017-3ch,42,within,within_fold0,0,0.5,0.3,50,0.0999999999999999,0.55,40,46,112,3,200
Cho2017-3ch,42,within,within_fold0,1,0.5,0.3,50,-0.05,0.475,40,32,112,3,200
Cho2017-3ch,42,within,within_fold0,2,0.5,0.3,50,0.1999999999999999,0.6,40,46,112,3,200
Cho2017-3ch,42,within,within_fold0,3,0.5,0.3,50,0.1999999999999999,0.6,40,54,112,3,200
Cho2017-3ch,42,within,within_fold0,42,0.5,0.3,50,-0.1499999999999999,0.425,40,50,112,3,200
Cho2017-3ch,43,within,within_fold0,0,0.5,0.3,50,0.5,0.75,40,52,112,3,200
Cho2017-3ch,43,within,within_fold0,1,0.5,0.3,50,0.25,0.625,40,44,112,3,200
Cho2017-3ch,43,within,within_fold0,2,0.5,0.3,50,0.0999999999999999,0.55,40,54,112,3,200
Cho2017-3ch,43,within,within_fold0,3,0.5,0.3,50,0.4499999999999999,0.725,40,40,112,3,200
Cho2017-3ch,43,within,within_fold0,42,0.5,0.3,50,0.5,0.75,40,66,112,3,200
Cho2017-3ch,44,within,within_fold0,0,0.5,0.3,50,-0.1,0.45,40,20,112,3,200
Cho2017-3ch,44,within,within_fold0,1,0.5,0.3,50,0.0,0.5,40,38,112,3,200
Cho2017-3ch,44,within,within_fold0,2,0.5,0.3,50,-0.1,0.45,40,42,112,3,200
Cho2017-3ch,44,within,within_fold0,3,0.5,0.3,50,-0.1499999999999999,0.425,40,26,112,3,200
Cho2017-3ch,44,within,within_fold0,42,0.5,0.3,50,-0.05,0.475,40,62,112,3,200
Cho2017-3ch,45,within,within_fold0,0,0.5,0.3,50,-0.05,0.475,40,20,112,3,200
Cho2017-3ch,45,within,within_fold0,1,0.5,0.3,50,0.15,0.575,40,38,112,3,200
Cho2017-3ch,45,within,within_fold0,2,0.5,0.3,50,0.0,0.5,40,32,112,3,200
Cho2017-3ch,45,within,within_fold0,3,0.5,0.3,50,-0.05,0.475,40,58,112,3,200
Cho2017-3ch,45,within,within_fold0,42,0.5,0.3,50,-0.05,0.475,40,42,112,3,200
Cho2017-3ch,46,within,within_fold0,0,0.5,0.3,50,0.125,0.5625,48,28,134,3,240
Cho2017-3ch,46,within,within_fold0,1,0.5,0.3,50,-0.0416666666666667,0.4791666666666667,48,48,134,3,240
Cho2017-3ch,46,within,within_fold0,2,0.5,0.3,50,0.0416666666666666,0.5208333333333334,48,56,134,3,240
Cho2017-3ch,46,within,within_fold0,3,0.5,0.3,50,0.0416666666666666,0.5208333333333334,48,42,134,3,240
Cho2017-3ch,46,within,within_fold0,42,0.5,0.3,50,0.0416666666666666,0.5208333333333334,48,58,134,3,240
Cho2017-3ch,47,within,within_fold0,0,0.5,0.3,50,0.35,0.675,40,70,112,3,200
Cho2017-3ch,47,within,within_fold0,1,0.5,0.3,50,-0.1,0.45,40,34,112,3,200
Cho2017-3ch,47,within,within_fold0,2,0.5,0.3,50,0.25,0.625,40,46,112,3,200
Cho2017-3ch,47,within,within_fold0,3,0.5,0.3,50,-0.05,0.475,40,36,112,3,200
Cho2017-3ch,47,within,within_fold0,42,0.5,0.3,50,0.65,0.825,40,34,112,3,200
Cho2017-3ch,48,within,within_fold0,0,0.5,0.3,50,0.1999999999999999,0.6,40,48,112,3,200
Cho2017-3ch,48,within,within_fold0,1,0.5,0.3,50,0.0999999999999999,0.55,40,46,112,3,200
Cho2017-3ch,48,within,within_fold0,2,0.5,0.3,50,0.0,0.5,40,48,112,3,200
Cho2017-3ch,48,within,within_fold0,3,0.5,0.3,50,0.15,0.575,40,44,112,3,200
Cho2017-3ch,48,within,within_fold0,42,0.5,0.3,50,0.3,0.65,40,66,112,3,200
Cho2017-3ch,49,within,within_fold0,0,0.5,0.3,50,0.05,0.525,40,30,112,3,200
Cho2017-3ch,49,within,within_fold0,1,0.5,0.3,50,0.0999999999999999,0.55,40,40,112,3,200
Cho2017-3ch,49,within,within_fold0,2,0.5,0.3,50,0.15,0.575,40,58,112,3,200
Cho2017-3ch,49,within,within_fold0,3,0.5,0.3,50,0.0999999999999999,0.55,40,60,112,3,200
Cho2017-3ch,49,within,within_fold0,42,0.5,0.3,50,0.1999999999999999,0.6,40,66,112,3,200
Cho2017-3ch,50,within,within_fold0,0,0.5,0.3,50,0.0999999999999999,0.55,40,76,112,3,200
Cho2017-3ch,50,within,within_fold0,1,0.5,0.3,50,-0.1,0.45,40,38,112,3,200
Cho2017-3ch,50,within,within_fold0,2,0.5,0.3,50,-0.3,0.35,40,30,112,3,200
Cho2017-3ch,50,within,within_fold0,3,0.5,0.3,50,-0.05,0.475,40,60,112,3,200
Cho2017-3ch,50,within,within_fold0,42,0.5,0.3,50,0.05,0.525,40,52,112,3,200
Cho2017-3ch,51,within,within_fold0,0,0.5,0.3,50,0.0999999999999999,0.55,40,30,112,3,200
Cho2017-3ch,51,within,within_fold0,1,0.5,0.3,50,0.05,0.525,40,30,112,3,200
Cho2017-3ch,51,within,within_fold0,2,0.5,0.3,50,0.0,0.5,40,44,112,3,200
Cho2017-3ch,51,within,within_fold0,3,0.5,0.3,50,-0.1,0.45,40,48,112,3,200
Cho2017-3ch,51,within,within_fold0,42,0.5,0.3,50,0.05,0.525,40,42,112,3,200
Cho2017-3ch,52,within,within_fold0,0,0.5,0.3,50,0.0,0.5,40,34,112,3,200
Cho2017-3ch,52,within,within_fold0,1,0.5,0.3,50,-0.1,0.45,40,38,112,3,200
Cho2017-3ch,52,within,within_fold0,2,0.5,0.3,50,0.0999999999999999,0.55,40,78,112,3,200
Cho2017-3ch,52,within,within_fold0,3,0.5,0.3,50,0.0999999999999999,0.55,40,46,112,3,200
Cho2017-3ch,52,within,within_fold0,42,0.5,0.3,50,-0.1499999999999999,0.425,40,40,112,3,200
