dataset,subject,protocol,fold_name,seed,alpha,calibration_frac,window_size,per_round_cap,n_components,include_riemann_arms,epoch_seconds,context,reward_mode,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,error
WAUC,22,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.5519259480441923,0.7759562841530054,183,100,510,119.07502339763907,
WAUC,22,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.5737832188713048,0.7868852459016393,183,100,510,121.88280047097173,
WAUC,22,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.6502210010751404,0.825136612021858,183,100,510,103.97017178395673,
WAUC,22,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.5953021337636722,0.7978142076502732,183,100,510,130.98747094164173,
WAUC,24,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.35140820380974636,0.6756756756756757,185,100,516,197.02614292447328,
WAUC,24,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.4710893284322306,0.7351351351351352,185,90,511,174.06544936373308,
WAUC,24,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.28621536303051565,0.6432432432432432,185,100,516,198.98544096854067,
WAUC,24,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.2982200175080245,0.6486486486486487,185,100,516,188.1360315777076,
WAUC,24,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.22241681260945712,0.6108108108108108,185,100,516,185.09124985271637,
WAUC,25,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.5376344086021505,0.7688172043010753,186,100,520,141.07094051155684,
WAUC,25,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.4516129032258065,0.7258064516129032,186,100,512,157.22463589594923,
WAUC,25,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.5053763440860215,0.7526881720430108,186,100,520,129.03036736468349,
WAUC,25,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.34408602150537637,0.6720430107526881,186,100,435,137.08702630244153,
WAUC,25,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.5053763440860215,0.7526881720430108,186,100,520,128.252427360336,
WAUC,27,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.22250701818625662,0.6153846153846154,182,92,507,175.52678054870475,
WAUC,27,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.38609806047464157,0.6923076923076923,182,94,507,184.21647102706982,
WAUC,27,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.31999517898035434,0.6593406593406593,182,96,507,169.07229149538702,
WAUC,27,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.3393829401088929,0.6703296703296703,182,86,507,181.3990134283367,
WAUC,27,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.25418826081716284,0.6263736263736264,182,100,507,169.00054428915084,
WAUC,29,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.26086956521739135,0.6304347826086957,184,50,514,214.0560851746257,
WAUC,29,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.3804347826086957,0.6902173913043478,184,34,485,171.08573889284855,
WAUC,29,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.25,0.625,184,56,514,215.02611962461387,
WAUC,29,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.11956521739130432,0.5597826086956522,184,80,514,206.9933624376336,
WAUC,29,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.4130434782608695,0.7065217391304348,184,38,474,168.09934069850314,
WAUC,30,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.4347826086956522,0.717391304347826,184,100,512,170.0,
WAUC,30,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.46739130434782605,0.7336956521739131,184,100,455,130.0,
WAUC,30,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.26086956521739135,0.6304347826086957,184,100,512,158.0,
WAUC,30,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.5543478260869565,0.7771739130434783,184,100,512,145.0,
WAUC,30,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.4347826086956522,0.717391304347826,184,100,512,149.0,
WAUC,31,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.24442896935933145,0.6236559139784946,186,82,518,217.2288584474887,
WAUC,31,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.10938040844582897,0.553763440860215,186,56,518,221.9729680365303,
WAUC,31,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.20347222222222228,0.6021505376344086,186,92,518,200.68529680365324,
WAUC,31,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.24547983310153,0.6236559139784946,186,98,518,217.48566210045698,
WAUC,31,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,balanced,-0.01656886434242333,0.489247311827957,186,42,518,224.1084931506855,
WAUC,32,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.4565217391304348,0.7282608695652174,184,78,513,180.92803114902983,
WAUC,32,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.32608695652173914,0.6630434782608695,184,100,513,177.9785031491491,
WAUC,32,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.3695652173913043,0.6847826086956522,184,76,513,178.04671610011775,
WAUC,32,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.26086956521739135,0.6304347826086957,184,100,513,156.93890055240396,
WAUC,32,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,balanced,0.3695652173913043,0.6847826086956522,184,76,513,156.01120441923135,
