dataset,method,montage,protocol,subject,seed,kappa,accuracy,n_train,n_test,n_channels,y_true_seq,y_pred_seq,error
BCI-IV-2b,eegnet,full,official,8,42,0.033333333333333326,0.5166666666666667,160,120,3,,,
BCI-IV-2b,eegnet,full,within,9,7,0.08333333333333337,0.5416666666666666,192,48,3,,,
BCI-IV-2b,eegnet,full,within,9,7,0.375,0.6875,192,48,3,,,
BCI-IV-2b,eegnet,full,within,9,7,0.125,0.5625,192,48,3,,,
BCI-IV-2b,eegnet,full,within,9,7,0.0,0.5,192,48,3,,,
BCI-IV-2b,eegnet,full,within,9,7,-0.04166666666666674,0.4791666666666667,192,48,3,,,
BCI-IV-2b,eegnet,full,official,9,7,0.033333333333333326,0.5166666666666667,120,120,3,,,
BCI-IV-2b,eegnet,full,within,9,42,0.08333333333333337,0.5416666666666666,192,48,3,,,
BCI-IV-2b,eegnet,full,within,9,42,0.16666666666666663,0.5833333333333334,192,48,3,,,
BCI-IV-2b,eegnet,full,within,9,42,0.08333333333333337,0.5416666666666666,192,48,3,,,
BCI-IV-2b,eegnet,full,within,9,42,0.16666666666666663,0.5833333333333334,192,48,3,,,
BCI-IV-2b,eegnet,full,within,9,42,0.08333333333333337,0.5416666666666666,192,48,3,,,
BCI-IV-2b,eegnet,full,official,9,42,0.0,0.5,120,120,3,,,
