dataset,subject,protocol,fold_name,seed,alpha,calibration_frac,window_size,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,n_channels,n_trials_total
Cho2017-full,35,within,within_fold0,2,0.5,0.3,50,0.4,0.7,40,60,47,64,200
Cho2017-full,35,within,within_fold0,3,0.5,0.3,50,0.35,0.675,40,64,112,64,200
Cho2017-full,35,within,within_fold0,42,0.5,0.3,50,0.6,0.8,40,76,112,64,200
Cho2017-full,36,within,within_fold0,0,0.5,0.3,50,0.35,0.675,40,18,112,64,200
Cho2017-full,36,within,within_fold0,1,0.5,0.3,50,0.0,0.5,40,42,112,64,200
Cho2017-full,36,within,within_fold0,2,0.5,0.3,50,-0.10000000000000009,0.45,40,50,17,64,200
Cho2017-full,36,within,within_fold0,3,0.5,0.3,50,0.09999999999999998,0.55,40,38,112,64,200
Cho2017-full,36,within,within_fold0,42,0.5,0.3,50,0.0,0.5,40,22,112,64,200
Cho2017-full,37,within,within_fold0,0,0.5,0.3,50,0.19999999999999996,0.6,40,36,112,64,200
Cho2017-full,37,within,within_fold0,1,0.5,0.3,50,0.25,0.625,40,34,112,64,200
Cho2017-full,37,within,within_fold0,2,0.5,0.3,50,0.35,0.675,40,46,112,64,200
Cho2017-full,37,within,within_fold0,3,0.5,0.3,50,0.55,0.775,40,50,112,64,200
Cho2017-full,37,within,within_fold0,42,0.5,0.3,50,0.35,0.675,40,40,112,64,200
Cho2017-full,38,within,within_fold0,0,0.5,0.3,50,-0.050000000000000044,0.475,40,18,112,64,200
Cho2017-full,38,within,within_fold0,1,0.5,0.3,50,-0.10000000000000009,0.45,40,34,112,64,200
Cho2017-full,38,within,within_fold0,2,0.5,0.3,50,0.09999999999999998,0.55,40,50,17,64,200
Cho2017-full,38,within,within_fold0,3,0.5,0.3,50,0.09999999999999998,0.55,40,28,112,64,200
Cho2017-full,38,within,within_fold0,42,0.5,0.3,50,0.15000000000000002,0.575,40,32,112,64,200
Cho2017-full,39,within,within_fold0,0,0.5,0.3,50,0.15000000000000002,0.575,40,20,112,64,200
Cho2017-full,39,within,within_fold0,1,0.5,0.3,50,0.15000000000000002,0.575,40,44,112,64,200
Cho2017-full,39,within,within_fold0,2,0.5,0.3,50,0.15000000000000002,0.575,40,48,112,64,200
Cho2017-full,39,within,within_fold0,3,0.5,0.3,50,-0.1499999999999999,0.425,40,48,112,64,200
Cho2017-full,39,within,within_fold0,42,0.5,0.3,50,0.15000000000000002,0.575,40,34,112,64,200
Cho2017-full,40,within,within_fold0,0,0.5,0.3,50,-0.19999999999999996,0.4,40,26,112,64,200
Cho2017-full,40,within,within_fold0,1,0.5,0.3,50,0.050000000000000044,0.525,40,20,112,64,200
Cho2017-full,40,within,within_fold0,2,0.5,0.3,50,0.15000000000000002,0.575,40,40,112,64,200
Cho2017-full,40,within,within_fold0,3,0.5,0.3,50,-0.10000000000000009,0.45,40,40,112,64,200
Cho2017-full,40,within,within_fold0,42,0.5,0.3,50,-0.1499999999999999,0.425,40,38,112,64,200
Cho2017-full,41,within,within_fold0,0,0.5,0.3,50,0.0,0.5,40,26,112,64,200
Cho2017-full,41,within,within_fold0,1,0.5,0.3,50,0.050000000000000044,0.525,40,24,112,64,200
Cho2017-full,41,within,within_fold0,2,0.5,0.3,50,-0.1499999999999999,0.425,40,36,112,64,200
Cho2017-full,41,within,within_fold0,3,0.5,0.3,50,0.050000000000000044,0.525,40,26,112,64,200
Cho2017-full,41,within,within_fold0,42,0.5,0.3,50,-0.1499999999999999,0.425,40,22,112,64,200
Cho2017-full,42,within,within_fold0,0,0.5,0.3,50,0.0,0.5,40,22,112,64,200
Cho2017-full,42,within,within_fold0,1,0.5,0.3,50,-0.050000000000000044,0.475,40,28,112,64,200
Cho2017-full,42,within,within_fold0,2,0.5,0.3,50,0.0,0.5,40,44,112,64,200
Cho2017-full,42,within,within_fold0,3,0.5,0.3,50,-0.19999999999999996,0.4,40,28,112,64,200
Cho2017-full,42,within,within_fold0,42,0.5,0.3,50,-0.19999999999999996,0.4,40,28,112,64,200
Cho2017-full,43,within,within_fold0,0,0.5,0.3,50,0.19999999999999996,0.6,40,26,112,64,200
Cho2017-full,43,within,within_fold0,1,0.5,0.3,50,0.4,0.7,40,42,112,64,200
Cho2017-full,43,within,within_fold0,2,0.5,0.3,50,0.15000000000000002,0.575,40,56,32,64,200
Cho2017-full,43,within,within_fold0,3,0.5,0.3,50,0.050000000000000044,0.525,40,62,112,64,200
Cho2017-full,43,within,within_fold0,42,0.5,0.3,50,0.09999999999999998,0.55,40,44,112,64,200
Cho2017-full,44,within,within_fold0,0,0.5,0.3,50,0.15000000000000002,0.575,40,40,112,64,200
Cho2017-full,44,within,within_fold0,1,0.5,0.3,50,0.44999999999999996,0.725,40,38,112,64,200
Cho2017-full,44,within,within_fold0,2,0.5,0.3,50,0.15000000000000002,0.575,40,38,112,64,200
Cho2017-full,44,within,within_fold0,3,0.5,0.3,50,0.09999999999999998,0.55,40,42,112,64,200
Cho2017-full,44,within,within_fold0,42,0.5,0.3,50,0.5,0.75,40,42,112,64,200
Cho2017-full,45,within,within_fold0,0,0.5,0.3,50,-0.050000000000000044,0.475,40,20,112,64,200
Cho2017-full,45,within,within_fold0,1,0.5,0.3,50,-0.050000000000000044,0.475,40,28,112,64,200
Cho2017-full,45,within,within_fold0,2,0.5,0.3,50,0.09999999999999998,0.55,40,22,112,64,200
Cho2017-full,45,within,within_fold0,3,0.5,0.3,50,-0.19999999999999996,0.4,40,32,112,64,200
Cho2017-full,45,within,within_fold0,42,0.5,0.3,50,0.0,0.5,40,32,112,64,200
Cho2017-full,46,within,within_fold0,0,0.5,0.3,50,0.25,0.625,48,46,134,64,240
Cho2017-full,46,within,within_fold0,1,0.5,0.3,50,0.41666666666666663,0.7083333333333334,48,50,17,64,240
Cho2017-full,46,within,within_fold0,2,0.5,0.3,50,0.20833333333333337,0.6041666666666666,48,46,17,64,240
Cho2017-full,46,within,within_fold0,3,0.5,0.3,50,0.16666666666666663,0.5833333333333334,48,48,134,64,240
Cho2017-full,46,within,within_fold0,42,0.5,0.3,50,0.16666666666666663,0.5833333333333334,48,64,134,64,240
Cho2017-full,47,within,within_fold0,0,0.5,0.3,50,0.050000000000000044,0.525,40,42,112,64,200
Cho2017-full,47,within,within_fold0,1,0.5,0.3,50,0.25,0.625,40,24,112,64,200
Cho2017-full,47,within,within_fold0,2,0.5,0.3,50,0.15000000000000002,0.575,40,54,112,64,200
Cho2017-full,47,within,within_fold0,3,0.5,0.3,50,0.09999999999999998,0.55,40,44,112,64,200
Cho2017-full,47,within,within_fold0,42,0.5,0.3,50,0.19999999999999996,0.6,40,20,112,64,200
Cho2017-full,48,within,within_fold0,0,0.5,0.3,50,-0.10000000000000009,0.45,40,20,112,64,200
Cho2017-full,48,within,within_fold0,1,0.5,0.3,50,0.09999999999999998,0.55,40,36,112,64,200
Cho2017-full,48,within,within_fold0,2,0.5,0.3,50,0.35,0.675,40,38,112,64,200
Cho2017-full,48,within,within_fold0,3,0.5,0.3,50,-0.10000000000000009,0.45,40,34,112,64,200
Cho2017-full,48,within,within_fold0,42,0.5,0.3,50,0.09999999999999998,0.55,40,40,112,64,200
Cho2017-full,49,within,within_fold0,0,0.5,0.3,50,0.09999999999999998,0.55,40,28,112,64,200
Cho2017-full,49,within,within_fold0,1,0.5,0.3,50,0.15000000000000002,0.575,40,46,112,64,200
Cho2017-full,49,within,within_fold0,2,0.5,0.3,50,-0.10000000000000009,0.45,40,66,112,64,200
Cho2017-full,49,within,within_fold0,3,0.5,0.3,50,0.30000000000000004,0.65,40,56,112,64,200
Cho2017-full,49,within,within_fold0,42,0.5,0.3,50,0.050000000000000044,0.525,40,44,112,64,200
Cho2017-full,50,within,within_fold0,0,0.5,0.3,50,0.25,0.625,40,38,112,64,200
Cho2017-full,50,within,within_fold0,1,0.5,0.3,50,-0.1499999999999999,0.425,40,50,112,64,200
Cho2017-full,50,within,within_fold0,2,0.5,0.3,50,0.35,0.675,40,30,112,64,200
Cho2017-full,50,within,within_fold0,3,0.5,0.3,50,0.25,0.625,40,46,112,64,200
Cho2017-full,50,within,within_fold0,42,0.5,0.3,50,0.15000000000000002,0.575,40,44,112,64,200
Cho2017-full,51,within,within_fold0,0,0.5,0.3,50,-0.050000000000000044,0.475,40,22,112,64,200
Cho2017-full,51,within,within_fold0,1,0.5,0.3,50,-0.050000000000000044,0.475,40,28,112,64,200
Cho2017-full,51,within,within_fold0,2,0.5,0.3,50,0.30000000000000004,0.65,40,34,112,64,200
Cho2017-full,51,within,within_fold0,3,0.5,0.3,50,0.050000000000000044,0.525,40,30,112,64,200
Cho2017-full,51,within,within_fold0,42,0.5,0.3,50,0.0,0.5,40,26,112,64,200
Cho2017-full,52,within,within_fold0,0,0.5,0.3,50,0.050000000000000044,0.525,40,26,112,64,200
Cho2017-full,52,within,within_fold0,1,0.5,0.3,50,0.09999999999999998,0.55,40,24,112,64,200
Cho2017-full,52,within,within_fold0,2,0.5,0.3,50,0.09999999999999998,0.55,40,46,112,64,200
Cho2017-full,52,within,within_fold0,3,0.5,0.3,50,0.050000000000000044,0.525,40,38,112,64,200
Cho2017-full,52,within,within_fold0,42,0.5,0.3,50,-0.050000000000000044,0.475,40,18,112,64,200
