dataset,montage,subject,protocol,seed,alpha,calibration_frac,window_size,n_components,n_channels,context,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,error
COGBCI,full,19,within,2,0.5,0.3,50,4,62,workload,1.0,1.0,50,100,29,0.0,
COGBCI,full,19,within,3,0.5,0.3,50,4,62,workload,0.9101258238466148,0.94,50,100,29,1.0,
COGBCI,full,19,within,42,0.5,0.3,50,4,62,workload,0.93993993993994,0.96,50,100,44,4.0,
COGBCI,full,20,within,0,0.5,0.3,50,4,62,workload,0.5621064682312535,0.7058823529411765,51,88,49,15.0,
COGBCI,full,20,within,1,0.5,0.3,50,4,62,workload,0.9117647058823528,0.9411764705882352,51,100,143,29.0,
COGBCI,full,20,within,2,0.5,0.3,50,4,62,workload,0.8822170900692841,0.9215686274509804,51,90,34,6.0,
COGBCI,full,20,within,3,0.5,0.3,50,4,62,workload,0.5583140877598152,0.7058823529411765,51,86,34,9.0,
COGBCI,full,20,within,42,0.5,0.3,50,4,62,workload,0.9118155619596542,0.9411764705882352,51,90,34,10.0,
COGBCI,full,21,within,0,0.5,0.3,50,4,62,workload,0.9117647058823528,0.9411764705882352,51,99,31,5.0,
COGBCI,full,21,within,1,0.5,0.3,50,4,62,workload,0.9705882352941176,0.9803921568627452,51,98,46,8.0,
COGBCI,full,21,within,2,0.5,0.3,50,4,62,workload,0.9705882352941176,0.9803921568627452,51,100,17,2.0,
COGBCI,full,21,within,3,0.5,0.3,50,4,62,workload,0.9411764705882352,0.9607843137254902,51,100,140,27.0,
COGBCI,full,21,within,42,0.5,0.3,50,4,62,workload,0.7941176470588236,0.8627450980392157,51,100,31,5.0,
COGBCI,full,22,within,0,0.5,0.3,50,4,62,workload,0.705404112864658,0.8035714285714286,56,100,22,5.0,
COGBCI,full,22,within,1,0.5,0.3,50,4,62,workload,0.8130662851692895,0.875,56,100,37,5.0,
COGBCI,full,22,within,2,0.5,0.3,50,4,62,workload,0.6248803827751196,0.75,56,99,22,5.0,
COGBCI,full,22,within,3,0.5,0.3,50,4,62,workload,0.8125298900047824,0.875,56,100,37,7.0,
COGBCI,full,22,within,42,0.5,0.3,50,4,62,workload,0.8659645763523217,0.9107142857142856,56,100,51,6.0,
COGBCI,full,23,within,0,0.5,0.3,50,4,62,workload,0.8773466833541927,0.9183673469387756,49,100,12,1.0,
COGBCI,full,23,within,1,0.5,0.3,50,4,62,workload,0.4797001873828856,0.6530612244897959,49,100,137,32.0,
COGBCI,full,23,within,2,0.5,0.3,50,4,62,workload,0.8775,0.9183673469387756,49,91,137,31.0,
COGBCI,full,23,within,3,0.5,0.3,50,4,62,workload,0.908125,0.9387755102040816,49,88,137,24.0,
