dataset,subject,protocol,fold_name,seed,alpha,calibration_frac,window_size,n_components,include_riemann_arms,epoch_seconds,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret
STEW,16,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.11764705882352944,0.5333333333333333,15,100,41,15.0
STEW,16,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.5871559633027523,0.8,15,77,41,6.0
STEW,16,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.7321428571428572,0.8666666666666667,15,98,41,5.0
STEW,17,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.7272727272727273,0.8666666666666667,15,80,41,10.0
STEW,17,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.7321428571428572,0.8666666666666667,15,70,41,5.0
STEW,17,within,within_fold0,2,0.5,0.3,50,4,False,4.0,1.0,1.0,15,90,41,9.0
STEW,17,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.8648648648648649,0.9333333333333333,15,72,41,6.0
STEW,17,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.8672566371681416,0.9333333333333333,15,83,41,8.0
STEW,18,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.8648648648648649,0.9333333333333333,15,85,41,7.0
STEW,18,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.7321428571428572,0.8666666666666667,15,78,41,6.0
STEW,18,within,within_fold0,2,0.5,0.3,50,4,False,4.0,1.0,1.0,15,64,36,7.0
STEW,18,within,within_fold0,3,0.5,0.3,50,4,False,4.0,1.0,1.0,15,44,41,8.0
STEW,18,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.8648648648648649,0.9333333333333333,15,70,41,7.0
STEW,19,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.8672566371681416,0.9333333333333333,15,100,26,2.0
STEW,19,within,within_fold0,1,0.5,0.3,50,4,False,4.0,1.0,1.0,15,98,41,4.0
STEW,19,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.8648648648648649,0.9333333333333333,15,100,33,1.0
STEW,19,within,within_fold0,3,0.5,0.3,50,4,False,4.0,1.0,1.0,15,95,41,3.0
STEW,19,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.8672566371681416,0.9333333333333333,15,100,41,6.0
STEW,20,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.5871559633027523,0.8,15,76,41,6.0
STEW,20,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.8648648648648649,0.9333333333333333,15,82,41,6.0
STEW,20,within,within_fold0,2,0.5,0.3,50,4,False,4.0,1.0,1.0,15,89,41,7.0
STEW,20,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.7321428571428572,0.8666666666666667,15,64,41,4.0
STEW,20,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.32432432432432434,0.6666666666666666,15,93,41,5.0
STEW,21,within,within_fold0,0,0.5,0.3,50,4,False,4.0,1.0,1.0,15,82,41,7.0
STEW,21,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.32432432432432434,0.6666666666666666,15,70,41,6.0
STEW,21,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.5945945945945946,0.8,15,74,41,7.0
STEW,21,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.7321428571428572,0.8666666666666667,15,72,41,8.0
STEW,21,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.736842105263158,0.8666666666666667,15,82,41,6.0
STEW,22,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.4736842105263158,0.7333333333333333,15,74,41,4.0
STEW,22,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.7272727272727273,0.8666666666666667,15,75,41,6.0
STEW,22,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.736842105263158,0.8666666666666667,15,89,18,2.0
STEW,22,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.736842105263158,0.8666666666666667,15,68,41,7.0
STEW,22,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.5945945945945946,0.8,15,88,41,10.0
STEW,23,within,within_fold0,0,0.5,0.3,50,4,False,4.0,1.0,1.0,15,100,31,0.0
STEW,23,within,within_fold0,1,0.5,0.3,50,4,False,4.0,1.0,1.0,15,100,41,1.0
STEW,23,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.8648648648648649,0.9333333333333333,15,100,31,0.0
STEW,23,within,within_fold0,3,0.5,0.3,50,4,False,4.0,1.0,1.0,15,100,31,0.0
