dataset,subject,protocol,fold_name,seed,alpha,calibration_frac,window_size,include_riemann_arms,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret
BCI-IV-2a,7,official,official_fold0,42,0.5,0.3,50,False,0.05555555555555558,0.5277777777777778,144,56,101,49.0
BCI-IV-2a,8,within,within_fold0,0,0.5,0.3,50,False,0.7241379310344828,0.8620689655172413,58,60,84,20.0
BCI-IV-2a,8,within,within_fold0,1,0.5,0.3,50,False,0.896551724137931,0.9482758620689655,58,58,93,16.0
BCI-IV-2a,8,within,within_fold0,2,0.5,0.3,50,False,0.6551724137931034,0.8275862068965517,58,76,115,25.0
BCI-IV-2a,8,within,within_fold0,3,0.5,0.3,50,False,0.7931034482758621,0.896551724137931,58,62,88,19.0
BCI-IV-2a,8,within,within_fold0,42,0.5,0.3,50,False,0.9310344827586207,0.9655172413793104,58,64,79,20.0
BCI-IV-2a,8,official,official_fold0,0,0.5,0.3,50,False,0.5694444444444444,0.7847222222222222,144,64,101,24.0
BCI-IV-2a,8,official,official_fold0,1,0.5,0.3,50,False,0.4444444444444444,0.7222222222222222,144,58,101,23.0
BCI-IV-2a,8,official,official_fold0,2,0.5,0.3,50,False,0.6944444444444444,0.8472222222222222,144,66,101,36.0
BCI-IV-2a,8,official,official_fold0,3,0.5,0.3,50,False,0.41666666666666663,0.7083333333333334,144,60,101,24.0
BCI-IV-2a,8,official,official_fold0,42,0.5,0.3,50,False,0.4722222222222222,0.7361111111111112,144,54,78,24.0
BCI-IV-2a,9,within,within_fold0,0,0.5,0.3,50,False,0.7241379310344828,0.8620689655172413,58,90,70,13.0
BCI-IV-2a,9,within,within_fold0,1,0.5,0.3,50,False,0.48275862068965514,0.7413793103448276,58,100,161,32.0
BCI-IV-2a,9,within,within_fold0,2,0.5,0.3,50,False,0.896551724137931,0.9482758620689655,58,94,88,14.0
BCI-IV-2a,9,within,within_fold0,3,0.5,0.3,50,False,0.7241379310344828,0.8620689655172413,58,98,115,16.0
BCI-IV-2a,9,within,within_fold0,42,0.5,0.3,50,False,0.8620689655172413,0.9310344827586207,58,92,111,17.0
BCI-IV-2a,9,official,official_fold0,0,0.5,0.3,50,False,0.5694444444444444,0.7847222222222222,144,82,101,26.0
BCI-IV-2a,9,official,official_fold0,1,0.5,0.3,50,False,0.6805555555555556,0.8402777777777778,144,66,101,20.0
BCI-IV-2a,9,official,official_fold0,2,0.5,0.3,50,False,0.6666666666666667,0.8333333333333334,144,82,101,19.0
BCI-IV-2a,9,official,official_fold0,3,0.5,0.3,50,False,0.5833333333333333,0.7916666666666666,144,40,101,24.0
BCI-IV-2a,9,official,official_fold0,42,0.5,0.3,50,False,0.6666666666666667,0.8333333333333334,144,58,101,26.0
