dataset,subject,protocol,fold_name,seed,alpha,calibration_frac,window_size,per_round_cap,n_components,include_riemann_arms,epoch_seconds,context,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret
STEW,14,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,0.736842105263158,0.8666666666666667,15,98,41,6.0
STEW,14,within,within_fold0,3,0.5,0.5,50,inf,4,False,4.0,workload,0.6086956521739131,0.8,15,100,24,0.0
STEW,14,within,within_fold0,42,0.5,0.2,50,inf,4,False,4.0,workload,0.7272727272727273,0.8666666666666667,15,90,27,3.0
STEW,14,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,0.6086956521739131,0.8,15,100,41,7.0
STEW,14,within,within_fold0,42,0.5,0.5,50,inf,4,False,4.0,workload,1.0,1.0,15,100,16,0.0
STEW,15,within,within_fold0,0,0.5,0.2,50,inf,4,False,4.0,workload,0.32432432432432434,0.6666666666666666,15,47,47,22.0
STEW,15,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,0.5945945945945946,0.8,15,78,41,17.0
STEW,15,within,within_fold0,0,0.5,0.5,50,inf,4,False,4.0,workload,0.7272727272727273,0.8666666666666667,15,73,29,9.0
STEW,15,within,within_fold0,1,0.5,0.2,50,inf,4,False,4.0,workload,-0.6071428571428572,0.2,15,29,47,17.0
STEW,15,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,0.7321428571428572,0.8666666666666667,15,56,41,19.0
STEW,15,within,within_fold0,1,0.5,0.5,50,inf,4,False,4.0,workload,0.32432432432432434,0.6666666666666666,15,76,29,11.0
STEW,15,within,within_fold0,2,0.5,0.2,50,inf,4,False,4.0,workload,0.0,0.4666666666666667,15,53,47,20.0
STEW,15,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,61,31,8.0
STEW,15,within,within_fold0,2,0.5,0.5,50,inf,4,False,4.0,workload,0.21052631578947367,0.6,15,72,29,5.0
STEW,15,within,within_fold0,3,0.5,0.2,50,inf,4,False,4.0,workload,0.34782608695652173,0.6666666666666666,15,46,47,19.0
STEW,15,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,0.33628318584070793,0.6666666666666666,15,69,41,12.0
STEW,15,within,within_fold0,3,0.5,0.5,50,inf,4,False,4.0,workload,0.4444444444444444,0.7333333333333333,15,77,29,5.0
STEW,15,within,within_fold0,42,0.5,0.2,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,54,47,8.0
STEW,15,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,0.6017699115044248,0.8,15,64,41,9.0
STEW,15,within,within_fold0,42,0.5,0.5,50,inf,4,False,4.0,workload,0.4545454545454546,0.7333333333333333,15,95,29,6.0
STEW,16,within,within_fold0,0,0.5,0.2,50,inf,4,False,4.0,workload,0.3119266055045873,0.6666666666666666,15,28,47,13.0
STEW,16,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,0.16666666666666663,0.6,15,93,41,11.0
STEW,16,within,within_fold0,0,0.5,0.5,50,inf,4,False,4.0,workload,0.7321428571428572,0.8666666666666667,15,100,16,3.0
