dataset,subject,protocol,fold_name,seed,alpha,calibration_frac,window_size,n_components,include_riemann_arms,epoch_seconds,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,error
WAUC,21,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.5994030549540587,0.8,185,100,518,142.0,
WAUC,21,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.3465975983046856,0.6756756756756757,185,100,451,112.0,
WAUC,21,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.4929142123986703,0.745945945945946,185,100,498,140.0,
WAUC,22,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.6607666088620463,0.8306010928961749,183,100,510,105.0,
WAUC,22,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.6284929543826129,0.8142076502732241,183,100,510,125.0,
WAUC,22,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.5079763398458506,0.7540983606557377,183,100,510,105.0,
WAUC,22,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.5845878136200717,0.7923497267759563,183,100,510,121.0,
WAUC,22,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.6500956022944551,0.825136612021858,183,100,510,119.0,
WAUC,24,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.27628890056635713,0.6378378378378379,185,100,516,178.0,
WAUC,24,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.14666900216033163,0.572972972972973,185,90,516,165.0,
WAUC,24,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.3183811918825662,0.6594594594594595,185,100,516,194.0,
WAUC,24,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.2982200175080245,0.6486486486486487,185,100,516,178.0,
WAUC,24,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.4597593739049177,0.7297297297297297,185,100,516,190.0,
WAUC,25,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.5268817204301075,0.7634408602150538,186,100,520,139.0,
WAUC,25,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.4408602150537635,0.7204301075268817,186,100,520,139.0,
WAUC,25,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.5268817204301075,0.7634408602150538,186,100,520,141.0,
WAUC,25,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.34408602150537637,0.6720430107526881,186,100,451,158.0,
WAUC,25,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.6021505376344086,0.8010752688172043,186,100,520,131.0,
WAUC,27,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.22250701818625662,0.6153846153846154,182,92,507,185.0,
WAUC,27,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.38609806047464157,0.6923076923076923,182,94,507,172.0,
WAUC,27,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.32821009318649397,0.6648351648351648,182,96,507,188.0,
WAUC,27,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.2621323974343458,0.6318681318681318,182,86,507,168.0,
WAUC,27,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.31868131868131866,0.6593406593406593,182,100,507,173.0,
WAUC,29,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.3804347826086957,0.6902173913043478,184,50,471,175.0,
WAUC,29,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.3804347826086957,0.6902173913043478,184,34,514,202.0,
WAUC,29,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.3369565217391305,0.6684782608695652,184,56,475,185.0,
WAUC,29,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.4130434782608695,0.7065217391304348,184,80,514,184.0,
WAUC,29,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.4130434782608695,0.7065217391304348,184,38,435,158.0,
WAUC,30,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.4130434782608695,0.7065217391304348,184,100,512,165.0,
WAUC,30,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.46739130434782605,0.7336956521739131,184,100,437,130.0,
WAUC,30,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.40217391304347827,0.7010869565217391,184,100,512,160.0,
WAUC,30,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.5543478260869565,0.7771739130434783,184,100,512,141.0,
WAUC,30,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.3586956521739131,0.6793478260869565,184,100,512,142.0,
WAUC,31,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.24442896935933145,0.6236559139784946,186,82,518,208.0,
WAUC,31,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.1418685121107266,0.5698924731182796,186,56,518,204.0,
WAUC,31,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.2899120777417863,0.6451612903225806,186,92,518,196.0,
WAUC,31,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.10670061335493575,0.553763440860215,186,98,518,221.0,
WAUC,31,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.1418685121107266,0.5698924731182796,186,42,518,218.0,
WAUC,32,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.30434782608695654,0.6521739130434783,184,78,513,153.0,
WAUC,32,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.32608695652173914,0.6630434782608695,184,100,513,181.0,
WAUC,32,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.42391304347826086,0.7119565217391305,184,76,513,169.0,
WAUC,32,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.40217391304347827,0.7010869565217391,184,100,513,167.0,
