dataset,subject,protocol,fold_name,seed,alpha,calibration_frac,window_size,per_round_cap,n_components,include_riemann_arms,epoch_seconds,context,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret
STEW,4,within,within_fold0,3,2.0,0.3,50,inf,4,False,4.0,workload,0.33628318584070793,0.6666666666666666,15,61,41,13.0
STEW,4,within,within_fold0,42,0.1,0.3,50,inf,4,False,4.0,workload,0.7321428571428572,0.8666666666666667,15,82,41,8.0
STEW,4,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,0.7321428571428572,0.8666666666666667,15,82,41,9.0
STEW,4,within,within_fold0,42,1.0,0.3,50,inf,4,False,4.0,workload,0.7321428571428572,0.8666666666666667,15,82,28,12.0
STEW,4,within,within_fold0,42,2.0,0.3,50,inf,4,False,4.0,workload,0.7321428571428572,0.8666666666666667,15,82,26,10.0
STEW,6,within,within_fold0,0,0.1,0.3,50,inf,4,False,4.0,workload,0.4545454545454546,0.7333333333333333,15,100,41,5.0
STEW,6,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,100,41,2.0
STEW,6,within,within_fold0,0,1.0,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,41,0.0
STEW,6,within,within_fold0,0,2.0,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,41,0.0
STEW,6,within,within_fold0,1,0.1,0.3,50,inf,4,False,4.0,workload,0.7272727272727273,0.8666666666666667,15,100,41,12.0
STEW,6,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,0.15094339622641506,0.6,15,100,41,7.0
STEW,6,within,within_fold0,1,1.0,0.3,50,inf,4,False,4.0,workload,0.15094339622641506,0.6,15,100,41,4.0
STEW,6,within,within_fold0,1,2.0,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,41,5.0
STEW,6,within,within_fold0,2,0.1,0.3,50,inf,4,False,4.0,workload,0.48275862068965514,0.7333333333333333,15,100,41,7.0
STEW,6,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,0.48275862068965514,0.7333333333333333,15,100,31,2.0
STEW,6,within,within_fold0,2,1.0,0.3,50,inf,4,False,4.0,workload,0.48275862068965514,0.7333333333333333,15,100,26,2.0
STEW,6,within,within_fold0,2,2.0,0.3,50,inf,4,False,4.0,workload,0.48275862068965514,0.7333333333333333,15,100,26,2.0
STEW,6,within,within_fold0,3,0.1,0.3,50,inf,4,False,4.0,workload,0.7321428571428572,0.8666666666666667,15,96,41,8.0
STEW,6,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,0.5945945945945946,0.8,15,96,41,4.0
STEW,6,within,within_fold0,3,1.0,0.3,50,inf,4,False,4.0,workload,0.7321428571428572,0.8666666666666667,15,96,41,1.0
STEW,6,within,within_fold0,3,2.0,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,96,41,2.0
STEW,6,within,within_fold0,42,0.1,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,41,4.0
STEW,6,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,41,7.0
STEW,6,within,within_fold0,42,1.0,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,41,3.0
STEW,6,within,within_fold0,42,2.0,0.3,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,100,41,4.0
STEW,7,within,within_fold0,0,0.1,0.3,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,76,41,2.0
STEW,7,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,76,41,6.0
STEW,7,within,within_fold0,0,1.0,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,76,41,9.0
STEW,7,within,within_fold0,0,2.0,0.3,50,inf,4,False,4.0,workload,0.7272727272727273,0.8666666666666667,15,76,41,6.0
STEW,7,within,within_fold0,1,0.1,0.3,50,inf,4,False,4.0,workload,0.6086956521739131,0.8,15,77,41,3.0
STEW,7,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,77,41,6.0
STEW,7,within,within_fold0,1,1.0,0.3,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,77,41,8.0
STEW,7,within,within_fold0,1,2.0,0.3,50,inf,4,False,4.0,workload,0.5945945945945946,0.8,15,77,41,12.0
STEW,7,within,within_fold0,2,0.1,0.3,50,inf,4,False,4.0,workload,0.6017699115044248,0.8,15,83,41,6.0
STEW,7,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,0.7272727272727273,0.8666666666666667,15,83,41,7.0
STEW,7,within,within_fold0,2,1.0,0.3,50,inf,4,False,4.0,workload,0.5945945945945946,0.8,15,83,41,9.0
STEW,7,within,within_fold0,2,2.0,0.3,50,inf,4,False,4.0,workload,0.736842105263158,0.8666666666666667,15,83,41,9.0
STEW,7,within,within_fold0,3,0.1,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,57,41,2.0
STEW,7,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,57,41,5.0
STEW,7,within,within_fold0,3,1.0,0.3,50,inf,4,False,4.0,workload,0.4642857142857143,0.7333333333333333,15,57,41,8.0
STEW,7,within,within_fold0,3,2.0,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,57,41,10.0
STEW,7,within,within_fold0,42,0.1,0.3,50,inf,4,False,4.0,workload,0.6017699115044248,0.8,15,92,41,5.0
STEW,7,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,0.6017699115044248,0.8,15,92,41,7.0
STEW,7,within,within_fold0,42,1.0,0.3,50,inf,4,False,4.0,workload,0.6017699115044248,0.8,15,92,41,6.0
STEW,7,within,within_fold0,42,2.0,0.3,50,inf,4,False,4.0,workload,0.736842105263158,0.8666666666666667,15,92,41,7.0
STEW,8,within,within_fold0,0,0.1,0.3,50,inf,4,False,4.0,workload,0.736842105263158,0.8666666666666667,15,77,41,4.0
STEW,8,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,77,41,4.0
STEW,8,within,within_fold0,0,1.0,0.3,50,inf,4,False,4.0,workload,0.736842105263158,0.8666666666666667,15,77,41,6.0
STEW,8,within,within_fold0,0,2.0,0.3,50,inf,4,False,4.0,workload,0.5945945945945946,0.8,15,77,41,7.0
STEW,8,within,within_fold0,1,0.1,0.3,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,64,41,3.0
STEW,8,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,64,41,7.0
STEW,8,within,within_fold0,1,1.0,0.3,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,64,41,14.0
STEW,8,within,within_fold0,1,2.0,0.3,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,64,41,10.0
STEW,8,within,within_fold0,2,0.1,0.3,50,inf,4,False,4.0,workload,0.4736842105263158,0.7333333333333333,15,95,41,4.0
STEW,8,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,0.736842105263158,0.8666666666666667,15,95,41,10.0
STEW,8,within,within_fold0,2,1.0,0.3,50,inf,4,False,4.0,workload,0.4736842105263158,0.7333333333333333,15,95,41,10.0
STEW,8,within,within_fold0,2,2.0,0.3,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,95,41,9.0
STEW,8,within,within_fold0,3,0.1,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,71,41,5.0
STEW,8,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,0.48275862068965514,0.7333333333333333,15,71,41,9.0
STEW,8,within,within_fold0,3,1.0,0.3,50,inf,4,False,4.0,workload,0.2990654205607476,0.6666666666666666,15,71,41,9.0
STEW,8,within,within_fold0,3,2.0,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,71,41,13.0
STEW,8,within,within_fold0,42,0.1,0.3,50,inf,4,False,4.0,workload,0.7272727272727273,0.8666666666666667,15,98,18,2.0
STEW,8,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,0.7272727272727273,0.8666666666666667,15,98,23,4.0
STEW,8,within,within_fold0,42,1.0,0.3,50,inf,4,False,4.0,workload,0.7272727272727273,0.8666666666666667,15,98,21,3.0
STEW,8,within,within_fold0,42,2.0,0.3,50,inf,4,False,4.0,workload,0.7272727272727273,0.8666666666666667,15,98,21,3.0
STEW,9,within,within_fold0,0,0.1,0.3,50,inf,4,False,4.0,workload,0.4545454545454546,0.7333333333333333,15,93,41,14.0
STEW,9,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,93,41,10.0
STEW,9,within,within_fold0,0,1.0,0.3,50,inf,4,False,4.0,workload,-0.13207547169811318,0.4666666666666667,15,93,41,11.0
STEW,9,within,within_fold0,0,2.0,0.3,50,inf,4,False,4.0,workload,0.32432432432432434,0.6666666666666666,15,93,41,10.0
STEW,9,within,within_fold0,1,0.1,0.3,50,inf,4,False,4.0,workload,0.7321428571428572,0.8666666666666667,15,60,41,9.0
STEW,9,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,0.4545454545454546,0.7333333333333333,15,60,41,12.0
STEW,9,within,within_fold0,1,1.0,0.3,50,inf,4,False,4.0,workload,0.7321428571428572,0.8666666666666667,15,60,41,16.0
STEW,9,within,within_fold0,1,2.0,0.3,50,inf,4,False,4.0,workload,0.18181818181818188,0.6,15,60,41,16.0
STEW,9,within,within_fold0,2,0.1,0.3,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,66,41,8.0
STEW,9,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,66,38,11.0
STEW,9,within,within_fold0,2,1.0,0.3,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,66,33,11.0
STEW,9,within,within_fold0,2,2.0,0.3,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,66,36,7.0
STEW,9,within,within_fold0,3,0.1,0.3,50,inf,4,False,4.0,workload,0.4736842105263158,0.7333333333333333,15,42,16,2.0
STEW,9,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,0.4736842105263158,0.7333333333333333,15,42,16,2.0
STEW,9,within,within_fold0,3,1.0,0.3,50,inf,4,False,4.0,workload,0.4736842105263158,0.7333333333333333,15,42,21,8.0
STEW,9,within,within_fold0,3,2.0,0.3,50,inf,4,False,4.0,workload,0.4736842105263158,0.7333333333333333,15,42,21,8.0
STEW,9,within,within_fold0,42,0.1,0.3,50,inf,4,False,4.0,workload,0.7272727272727273,0.8666666666666667,15,79,41,6.0
STEW,9,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,0.7272727272727273,0.8666666666666667,15,79,26,5.0
STEW,9,within,within_fold0,42,1.0,0.3,50,inf,4,False,4.0,workload,0.7272727272727273,0.8666666666666667,15,79,23,4.0
STEW,9,within,within_fold0,42,2.0,0.3,50,inf,4,False,4.0,workload,0.7272727272727273,0.8666666666666667,15,79,23,4.0
STEW,10,within,within_fold0,0,0.1,0.3,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,100,31,3.0
STEW,10,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,100,33,2.0
STEW,10,within,within_fold0,0,1.0,0.3,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,100,31,1.0
STEW,10,within,within_fold0,0,2.0,0.3,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,100,31,2.0
STEW,10,within,within_fold0,1,0.1,0.3,50,inf,4,False,4.0,workload,0.7272727272727273,0.8666666666666667,15,100,41,4.0
STEW,10,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,41,3.0
STEW,10,within,within_fold0,1,1.0,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,41,2.0
STEW,10,within,within_fold0,1,2.0,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,41,2.0
STEW,10,within,within_fold0,2,0.1,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,41,3.0
STEW,10,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,0.34782608695652173,0.6666666666666666,15,100,41,4.0
STEW,10,within,within_fold0,2,1.0,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,41,3.0
STEW,10,within,within_fold0,2,2.0,0.3,50,inf,4,False,4.0,workload,0.736842105263158,0.8666666666666667,15,100,41,4.0
STEW,10,within,within_fold0,3,0.1,0.3,50,inf,4,False,4.0,workload,0.5871559633027523,0.8,15,100,41,1.0
STEW,10,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,41,4.0
STEW,10,within,within_fold0,3,1.0,0.3,50,inf,4,False,4.0,workload,0.5871559633027523,0.8,15,100,41,3.0
STEW,10,within,within_fold0,3,2.0,0.3,50,inf,4,False,4.0,workload,0.5871559633027523,0.8,15,100,41,3.0
STEW,10,within,within_fold0,42,0.1,0.3,50,inf,4,False,4.0,workload,0.736842105263158,0.8666666666666667,15,100,41,4.0
STEW,10,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,0.48275862068965514,0.7333333333333333,15,100,41,5.0
STEW,10,within,within_fold0,42,1.0,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,41,5.0
STEW,10,within,within_fold0,42,2.0,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,41,7.0
STEW,11,within,within_fold0,0,0.1,0.3,50,inf,4,False,4.0,workload,0.16666666666666663,0.6,15,92,41,20.0
STEW,11,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,0.7272727272727273,0.8666666666666667,15,92,41,8.0
STEW,11,within,within_fold0,0,1.0,0.3,50,inf,4,False,4.0,workload,0.35897435897435903,0.6666666666666666,15,92,41,12.0
STEW,11,within,within_fold0,0,2.0,0.3,50,inf,4,False,4.0,workload,0.7272727272727273,0.8666666666666667,15,92,41,6.0
STEW,11,within,within_fold0,1,0.1,0.3,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,71,41,4.0
STEW,11,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,0.5871559633027523,0.8,15,71,41,5.0
STEW,11,within,within_fold0,1,1.0,0.3,50,inf,4,False,4.0,workload,0.5871559633027523,0.8,15,71,41,6.0
STEW,11,within,within_fold0,1,2.0,0.3,50,inf,4,False,4.0,workload,0.5871559633027523,0.8,15,71,41,7.0
STEW,11,within,within_fold0,2,0.1,0.3,50,inf,4,False,4.0,workload,0.6086956521739131,0.8,15,100,16,5.0
STEW,11,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,0.6086956521739131,0.8,15,100,38,8.0
STEW,11,within,within_fold0,2,1.0,0.3,50,inf,4,False,4.0,workload,0.6086956521739131,0.8,15,100,23,4.0
STEW,11,within,within_fold0,2,2.0,0.3,50,inf,4,False,4.0,workload,0.6086956521739131,0.8,15,100,26,5.0
STEW,11,within,within_fold0,3,0.1,0.3,50,inf,4,False,4.0,workload,0.3119266055045873,0.6666666666666666,15,78,41,7.0
STEW,11,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,0.7272727272727273,0.8666666666666667,15,78,41,7.0
