dataset,task,protocol,montage,method,subject,seed,kappa,accuracy,n_train,n_test,n_channels,error
COGBCI,nback,cross,nearear,eegnet,21,7,0.0075116580933608,0.3446215139442231,251,502,2,
COGBCI,nback,cross,nearear,eegnet,22,42,-0.0443671487913517,0.3075356415478615,278,491,2,
COGBCI,nback,cross,nearear,eegnet,22,7,-0.0226749897412301,0.3177189409368635,278,491,2,
COGBCI,nback,cross,nearear,eegnet,23,42,-0.0031712331528237,0.3354430379746835,245,474,2,
COGBCI,nback,cross,nearear,eegnet,23,7,-0.0316530524505589,0.3164556962025316,245,474,2,
COGBCI,nback,cross,nearear,eegnet,24,42,-0.0864197530864196,0.2757201646090535,265,486,2,
COGBCI,nback,cross,nearear,eegnet,24,7,-0.0740740740740741,0.2839506172839506,265,486,2,
COGBCI,nback,cross,nearear,eegnet,25,42,-0.0126971912273952,0.3258196721311475,258,488,2,
COGBCI,nback,cross,nearear,eegnet,25,7,-0.0657106610198376,0.290983606557377,258,488,2,
COGBCI,nback,cross,nearear,eegnet,26,42,-0.0813711109395507,0.2795031055900621,257,483,2,
COGBCI,nback,cross,nearear,eegnet,26,7,-0.079953739398612,0.2795031055900621,257,483,2,
COGBCI,nback,cross,nearear,eegnet,27,42,0.0,0.3319327731092437,245,476,2,
COGBCI,nback,cross,nearear,eegnet,27,7,0.0031314826315024,0.3340336134453781,245,476,2,
COGBCI,nback,cross,nearear,eegnet,28,42,0.0389815246476399,0.3655030800821355,258,487,2,
COGBCI,nback,cross,nearear,eegnet,28,7,-0.0457435962788326,0.3080082135523614,258,487,2,
COGBCI,nback,cross,nearear,eegnet,29,42,-0.1426649892260127,0.2367864693446088,251,473,2,
COGBCI,nback,cross,nearear,eegnet,29,7,-0.0728135203125834,0.2832980972515856,251,473,2,
COGBCI,nback,cross,full,eegnet,1,42,-0.0003101073613069,0.3339622641509434,299,530,62,
COGBCI,nback,cross,full,eegnet,1,7,0.0,0.3320754716981132,299,530,62,
COGBCI,nback,cross,full,eegnet,2,42,0.0,0.3375,297,480,62,
COGBCI,nback,cross,full,eegnet,2,7,0.0,0.3375,297,480,62,
COGBCI,nback,cross,full,eegnet,3,42,0.0,0.3423799582463465,302,479,62,
COGBCI,nback,cross,full,eegnet,3,7,0.0,0.3423799582463465,302,479,62,
COGBCI,nback,cross,full,eegnet,4,42,0.0,0.3347457627118644,300,472,62,
COGBCI,nback,cross,full,eegnet,4,7,0.0,0.3347457627118644,300,472,62,
COGBCI,nback,cross,full,eegnet,5,42,-0.1141733920056058,0.2584493041749503,261,503,62,
COGBCI,nback,cross,full,eegnet,5,7,0.0050726746776118,0.3379721669980119,261,503,62,
COGBCI,nback,cross,full,eegnet,6,42,0.0,0.3333333333333333,253,480,62,
COGBCI,nback,cross,full,eegnet,6,7,0.0,0.3333333333333333,253,480,62,
COGBCI,nback,cross,full,eegnet,7,42,0.0,0.3299180327868852,258,488,62,
COGBCI,nback,cross,full,eegnet,7,7,-0.2514944089306254,0.1639344262295081,258,488,62,
COGBCI,nback,cross,full,eegnet,8,42,0.4407728354656353,0.6288032454361054,255,493,62,
COGBCI,nback,cross,full,eegnet,8,7,-0.2574111193163837,0.1663286004056795,255,493,62,
COGBCI,nback,cross,full,eegnet,9,42,0.0227135032209404,0.3522267206477733,256,494,62,
COGBCI,nback,cross,full,eegnet,9,7,0.0,0.3238866396761133,256,494,62,
