dataset,method,montage,protocol,subject,seed,kappa,accuracy,n_train,n_test,n_channels,y_true_seq,y_pred_seq,error
STEW,eegnet,full,loso,9,7,-0.05454545454545445,0.21621621621621623,3256,74,14,low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high,medium|high|high|high|low|high|high|low|high|medium|medium|medium|medium|high|high|high|low|medium|high|high|medium|medium|medium|high|high|high|high|high|high|low|high|low|low|medium|high|high|low|medium|medium|medium|low|medium|medium|medium|medium|high|medium|low|high|high|medium|high|medium|medium|medium|high|medium|high|high|high|medium|medium|high|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium,
STEW,eegnet,full,loso,10,7,0.2692307692307693,0.4864864864864865,3256,74,14,low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium,low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|high|low|low|low|high|high|low|high|high|low|low|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|low|low|high|low|high|high|high|high|high|high|high|low|high|high,
STEW,eegnet,full,loso,11,7,0.2100840336134454,0.36486486486486486,3256,74,14,low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium,low|low|high|low|low|low|low|high|medium|low|low|low|high|low|low|low|low|low|high|low|low|low|high|low|low|low|low|low|low|low|high|high|high|low|high|high|low|high|high|high|medium|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|low,
STEW,eegnet,full,loso,12,7,0.46808510638297873,0.6621621621621622,3256,74,14,low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium,low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|medium|low|low|low|low|low|low|low|low|low|low|low|low|low|low|high|high|high|high|medium|medium|high|medium|high|low|low|high|high|medium|medium|high|high|high|high|high|medium|medium|low|high|low|medium|medium|medium|medium|high|high|high|medium|high|high|high|medium,
STEW,eegnet,full,loso,13,7,0.276595744680851,0.5405405405405406,3256,74,14,low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high,low|low|low|medium|low|high|low|low|low|low|low|low|low|low|low|low|low|high|low|medium|low|low|low|low|medium|low|low|low|low|low|low|low|low|medium|medium|medium|medium|high|low|low|low|low|medium|medium|high|medium|high|low|high|medium|low|medium|high|medium|low|low|high|low|low|medium|high|medium|medium|medium|medium|high|low|low|medium|high|high|high|high|medium,
STEW,eegnet,full,loso,14,7,0.4457831325301205,0.6891891891891891,3256,74,14,low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high,low|low|low|low|low|low|low|low|low|low|low|low|low|low|medium|low|low|low|high|high|high|high|low|low|low|high|low|low|low|high|high|high|high|low|low|medium|high|high|low|high|high|high|high|medium|high|high|high|medium|high|medium|high|high|high|medium|high|high|high|high|low|high|high|high|high|high|high|medium|high|high|medium|medium|high|low|low|high,
STEW,eegnet,full,loso,15,7,0.09909909909909909,0.32432432432432434,3256,74,14,low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium,low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|medium|low|low|medium|medium|low|medium|low|low|low|medium|medium|low|high|high|low|medium|medium|medium|medium|medium|medium|high|high|high|low|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|medium|high|high|high|high|high|high|high,
STEW,eegnet,full,loso,16,7,0.6190476190476191,0.7837837837837838,3256,74,14,low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high,low|low|low|low|low|low|low|high|low|low|high|low|low|low|low|low|low|low|low|low|low|low|low|high|high|low|low|medium|high|high|medium|medium|medium|medium|low|medium|low|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|medium|high|medium|high|high|high|medium|high|high|high|medium|high|high|high|high|high|high,
STEW,eegnet,full,loso,17,7,0.11904761904761907,0.5,3256,74,14,low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|low|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high,high|high|high|high|high|medium|high|high|medium|high|high|high|high|high|high|high|high|high|high|high|high|medium|high|medium|high|high|medium|high|medium|medium|medium|low|low|low|high|high|low|high|high|high|high|high|high|high|medium|high|high|high|high|high|high|high|high|high|high|high|high|high|high|low|high|high|high|high|high|high|high|high|high|medium|high|high|low|high,
STEW,eegnet,full,loso,18,7,0.3176470588235294,0.6081081081081081,3256,74,14,medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|medium|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high|high,medium|medium|medium|medium|low|medium|medium|low|medium|medium|low|low|medium|medium|low|medium|medium|medium|medium|medium|medium|medium|medium|medium|low|low|medium|low|medium|medium|low|low|medium|medium|medium|low|medium|high|high|high|medium|medium|medium|high|high|high|high|medium|medium|medium|high|high|high|medium|medium|medium|high|high|high|medium|high|medium|medium|high|medium|medium|high|medium|high|medium|medium|medium|high|high,
