dataset,subject,protocol,fold_name,seed,budget_frac,alpha,arm_pool,calibration_frac,include_recent_rewards,per_round_cap,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,4,official,official[0→1],0,1.0,1.0,pruned,0.3,True,2.0,0.1429,0.5714,140,86,84,31.0,504.0
BCI-IV-2b,4,official,official[0→1],1,1.0,1.0,pruned,0.3,True,2.0,0.0429,0.5214,140,84,84,41.0,504.0
BCI-IV-2b,4,official,official[0→1],2,1.0,1.0,pruned,0.3,True,2.0,-0.1,0.45,140,100,84,37.0,504.0
BCI-IV-2b,4,official,official[0→1],3,1.0,1.0,pruned,0.3,True,2.0,-0.0714,0.4643,140,76,84,33.0,504.0
BCI-IV-2b,4,official,official[0→1],42,1.0,1.0,pruned,0.3,True,2.0,0.2143,0.6071,140,86,84,38.0,504.0
BCI-IV-2b,5,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,-0.1154,0.4423,52,100,146,66.0,197.0
BCI-IV-2b,5,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,0.2692,0.6346,52,100,146,79.0,200.0
BCI-IV-2b,5,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,0.3846,0.6923,52,74,146,71.0,195.0
BCI-IV-2b,5,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,0.1154,0.5577,52,100,146,60.0,202.0
BCI-IV-2b,5,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,0.0769,0.5385,52,68,146,61.0,202.0
BCI-IV-2b,5,within,within_fold0,0,1.0,1.0,pruned,0.3,True,4.0,-0.1154,0.4423,52,100,146,66.0,197.0
BCI-IV-2b,5,within,within_fold0,1,1.0,1.0,pruned,0.3,True,4.0,0.2692,0.6346,52,100,146,79.0,200.0
BCI-IV-2b,5,within,within_fold0,2,1.0,1.0,pruned,0.3,True,4.0,0.3846,0.6923,52,74,146,71.0,195.0
BCI-IV-2b,5,within,within_fold0,3,1.0,1.0,pruned,0.3,True,4.0,0.1154,0.5577,52,100,146,60.0,202.0
BCI-IV-2b,5,within,within_fold0,42,1.0,1.0,pruned,0.3,True,4.0,0.0769,0.5385,52,68,146,61.0,202.0
BCI-IV-2b,5,within,within_fold0,0,1.0,1.0,pruned,0.3,True,3.0,-0.1154,0.4423,52,100,146,66.0,197.0
BCI-IV-2b,5,within,within_fold0,1,1.0,1.0,pruned,0.3,True,3.0,0.2692,0.6346,52,100,146,79.0,200.0
BCI-IV-2b,5,within,within_fold0,2,1.0,1.0,pruned,0.3,True,3.0,0.3846,0.6923,52,74,146,71.0,195.0
BCI-IV-2b,5,within,within_fold0,3,1.0,1.0,pruned,0.3,True,3.0,0.1154,0.5577,52,100,146,60.0,202.0
BCI-IV-2b,5,within,within_fold0,42,1.0,1.0,pruned,0.3,True,3.0,0.0769,0.5385,52,68,146,61.0,202.0
BCI-IV-2b,5,within,within_fold0,0,1.0,1.0,pruned,0.3,True,2.0,0.3462,0.6731,52,100,146,59.0,302.0
BCI-IV-2b,5,within,within_fold0,1,1.0,1.0,pruned,0.3,True,2.0,0.1154,0.5577,52,100,146,61.0,302.0
BCI-IV-2b,5,within,within_fold0,2,1.0,1.0,pruned,0.3,True,2.0,0.2692,0.6346,52,74,146,70.0,302.0
BCI-IV-2b,5,within,within_fold0,3,1.0,1.0,pruned,0.3,True,2.0,0.3462,0.6731,52,100,146,63.0,302.0
