dataset,montage,feature_family,classifier,subject,fold,seed,kappa,accuracy,n_train,n_test,n_channels,error
UAB,full,fbcsp,random_forest,4,0,42,0.9922672193877552,0.9948453608247424,775,194,14,
UAB,full,bandpower,lda,4,0,42,0.992267835791152,0.9948453608247424,775,194,14,
UAB,full,bandpower,svm,4,0,42,0.97680720490954,0.9845360824742267,775,194,14,
UAB,full,bandpower,decision_tree,4,0,42,0.914919065465274,0.9432989690721648,775,194,14,
UAB,full,bandpower,random_forest,4,0,42,0.9768016581632653,0.9845360824742267,775,194,14,
UAB,full,fbcsp,lda,4,1,42,1.0,1.0,775,194,14,
UAB,full,fbcsp,svm,4,1,42,0.992267835791152,0.9948453608247424,775,194,14,
UAB,full,fbcsp,decision_tree,4,1,42,0.9381476167702854,0.9587628865979382,775,194,14,
UAB,full,fbcsp,random_forest,4,1,42,1.0,1.0,775,194,14,
UAB,full,bandpower,lda,4,1,42,0.9845344387755102,0.9896907216494846,775,194,14,
UAB,full,bandpower,svm,4,1,42,0.976805356288857,0.9845360824742267,775,194,14,
UAB,full,bandpower,decision_tree,4,1,42,0.8839805438162825,0.922680412371134,775,194,14,
UAB,full,bandpower,random_forest,4,1,42,0.9613391789557592,0.9742268041237112,775,194,14,
UAB,full,fbcsp,lda,4,2,42,0.9845344387755102,0.9896907216494846,775,194,14,
UAB,full,fbcsp,svm,4,2,42,0.9845344387755102,0.9896907216494846,775,194,14,
UAB,full,fbcsp,decision_tree,4,2,42,0.907199234632863,0.9381443298969072,775,194,14,
UAB,full,fbcsp,random_forest,4,2,42,0.969063945144315,0.979381443298969,775,194,14,
UAB,full,bandpower,lda,4,2,42,0.9613268479387608,0.9742268041237112,775,194,14,
UAB,full,bandpower,svm,4,2,42,0.9535885167464117,0.9690721649484536,775,194,14,
UAB,full,bandpower,decision_tree,4,2,42,0.9071696307520536,0.9381443298969072,775,194,14,
UAB,full,bandpower,random_forest,4,2,42,0.938103214485124,0.9587628865979382,775,194,14,
