dataset,baseline,subject,fold,seed,kappa,accuracy,n_train,n_test,n_channels,error
STEW,fbcsp,39,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,39,3,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,fbcsp,39,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,40,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,40,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,40,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,40,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,40,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,41,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,41,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,41,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,41,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,41,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,43,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,43,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,43,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,43,3,42,0.736842105263158,0.8666666666666667,59,15,14,
STEW,fbcsp,43,4,42,0.8571428571428572,0.9285714285714286,60,14,14,
STEW,fbcsp,44,0,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,fbcsp,44,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,44,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,44,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,44,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,45,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,45,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,45,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,45,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,45,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,46,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,46,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,46,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,46,3,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,46,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,47,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,47,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,47,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,47,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,47,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,48,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,48,1,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,48,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,48,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,48,4,42,1.0,1.0,60,14,14,
STEW,bandpower,1,0,42,1.0,1.0,59,15,14,
STEW,bandpower,1,1,42,1.0,1.0,59,15,14,
STEW,bandpower,1,2,42,1.0,1.0,59,15,14,
STEW,bandpower,1,3,42,1.0,1.0,59,15,14,
STEW,bandpower,1,4,42,1.0,1.0,60,14,14,
STEW,bandpower,2,0,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,bandpower,2,1,42,1.0,1.0,59,15,14,
STEW,bandpower,2,2,42,1.0,1.0,59,15,14,
STEW,bandpower,2,3,42,1.0,1.0,59,15,14,
STEW,bandpower,2,4,42,1.0,1.0,60,14,14,
STEW,bandpower,3,0,42,1.0,1.0,59,15,14,
STEW,bandpower,3,1,42,0.6086956521739131,0.8,59,15,14,
STEW,bandpower,3,2,42,0.7321428571428572,0.8666666666666667,59,15,14,
STEW,bandpower,3,3,42,1.0,1.0,59,15,14,
STEW,bandpower,3,4,42,0.8571428571428572,0.9285714285714286,60,14,14,
STEW,bandpower,4,0,42,1.0,1.0,59,15,14,
STEW,bandpower,4,1,42,0.7321428571428572,0.8666666666666667,59,15,14,
STEW,bandpower,4,2,42,0.5945945945945946,0.8,59,15,14,
STEW,bandpower,4,3,42,0.736842105263158,0.8666666666666667,59,15,14,
STEW,bandpower,4,4,42,1.0,1.0,60,14,14,
STEW,bandpower,6,0,42,1.0,1.0,59,15,14,
STEW,bandpower,6,1,42,1.0,1.0,59,15,14,
STEW,bandpower,6,2,42,1.0,1.0,59,15,14,
STEW,bandpower,6,3,42,1.0,1.0,59,15,14,
STEW,bandpower,6,4,42,1.0,1.0,60,14,14,
STEW,bandpower,7,0,42,1.0,1.0,59,15,14,
STEW,bandpower,7,1,42,1.0,1.0,59,15,14,
STEW,bandpower,7,2,42,1.0,1.0,59,15,14,
STEW,bandpower,7,3,42,1.0,1.0,59,15,14,
STEW,bandpower,7,4,42,1.0,1.0,60,14,14,
STEW,bandpower,8,0,42,1.0,1.0,59,15,14,
STEW,bandpower,8,1,42,1.0,1.0,59,15,14,
STEW,bandpower,8,2,42,1.0,1.0,59,15,14,
STEW,bandpower,8,3,42,1.0,1.0,59,15,14,
STEW,bandpower,8,4,42,1.0,1.0,60,14,14,
STEW,bandpower,9,0,42,1.0,1.0,59,15,14,
STEW,bandpower,9,1,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,bandpower,9,2,42,1.0,1.0,59,15,14,
STEW,bandpower,9,3,42,1.0,1.0,59,15,14,
STEW,bandpower,9,4,42,1.0,1.0,60,14,14,
STEW,bandpower,10,0,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,bandpower,10,1,42,1.0,1.0,59,15,14,
STEW,bandpower,10,2,42,1.0,1.0,59,15,14,
STEW,bandpower,10,3,42,1.0,1.0,59,15,14,
STEW,bandpower,10,4,42,1.0,1.0,60,14,14,
STEW,bandpower,11,0,42,1.0,1.0,59,15,14,
STEW,bandpower,11,1,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,bandpower,11,2,42,1.0,1.0,59,15,14,
STEW,bandpower,11,3,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,bandpower,11,4,42,0.7142857142857143,0.8571428571428571,60,14,14,
STEW,bandpower,12,0,42,1.0,1.0,59,15,14,
STEW,bandpower,12,1,42,1.0,1.0,59,15,14,
STEW,bandpower,12,2,42,1.0,1.0,59,15,14,
STEW,bandpower,12,3,42,1.0,1.0,59,15,14,
