dataset,subject,protocol,fold_name,seed,budget_frac,alpha,arm_pool,calibration_frac,include_recent_rewards,per_round_cap,policy,epsilon,online_heads,window_size,discount_gamma,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,3,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,0.95,0.0667,0.5333,120,18,84,38.0,360.0
BCI-IV-2b,3,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,0.95,0.15,0.575,120,52,84,35.0,370.0
BCI-IV-2b,3,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,0.95,0.0333,0.5167,120,64,84,42.0,397.0
BCI-IV-2b,4,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,1.0,-0.0286,0.4857,140,86,84,36.0,432.0
BCI-IV-2b,4,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,1.0,0.5,0.75,140,84,84,36.0,442.0
BCI-IV-2b,4,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,1.0,0.5714,0.7857,140,100,84,37.0,431.0
BCI-IV-2b,4,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,1.0,0.1143,0.5571,140,76,84,33.0,441.0
BCI-IV-2b,4,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,1.0,0.0714,0.5357,140,86,84,32.0,441.0
BCI-IV-2b,4,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.99,0.4143,0.7071,140,86,84,32.0,428.0
BCI-IV-2b,4,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.99,0.2143,0.6071,140,84,84,37.0,446.0
BCI-IV-2b,4,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.99,0.0571,0.5286,140,100,84,38.0,431.0
BCI-IV-2b,4,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.99,0.0286,0.5143,140,76,84,35.0,441.0
