dataset,subject,protocol,fold_name,seed,budget_frac,alpha,arm_pool,calibration_frac,include_recent_rewards,per_round_cap,policy,epsilon,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,1,within,within_fold0,0,1.0,1.0,pruned,0.3,False,inf,oplb,,0.25,0.625,48,76,134,52.0,175.0
BCI-IV-2b,1,within,within_fold0,1,1.0,1.0,pruned,0.3,False,inf,oplb,,0.0417,0.5208,48,64,134,73.0,197.0
BCI-IV-2b,1,within,within_fold0,2,1.0,1.0,pruned,0.3,False,inf,oplb,,0.0,0.5,48,92,134,60.0,190.0
BCI-IV-2b,1,within,within_fold0,3,1.0,1.0,pruned,0.3,False,inf,oplb,,0.125,0.5625,48,72,134,59.0,178.0
BCI-IV-2b,1,within,within_fold0,42,1.0,1.0,pruned,0.3,False,inf,oplb,,0.1667,0.5833,48,76,134,63.0,179.0
BCI-IV-2b,1,official,official[0→1],0,1.0,0.1,pruned,0.2,True,inf,oplb,,0.0833,0.5417,120,68,96,48.0,451.0
BCI-IV-2b,1,official,official[0→1],1,1.0,0.1,pruned,0.2,True,inf,oplb,,-0.0167,0.4917,120,80,96,48.0,449.0
BCI-IV-2b,1,official,official[0→1],2,1.0,0.1,pruned,0.2,True,inf,oplb,,0.0,0.5,120,44,96,48.0,455.0
BCI-IV-2b,1,official,official[0→1],3,1.0,0.1,pruned,0.2,True,inf,oplb,,0.0167,0.5083,120,74,96,50.0,362.0
BCI-IV-2b,1,official,official[0→1],42,1.0,0.1,pruned,0.2,True,inf,oplb,,0.1,0.55,120,72,96,38.0,456.0
BCI-IV-2b,1,official,official[0→1],0,1.0,0.1,pruned,0.2,False,inf,oplb,,0.2,0.6,120,68,96,51.0,450.0
BCI-IV-2b,1,official,official[0→1],1,1.0,0.1,pruned,0.2,False,inf,oplb,,-0.0167,0.4917,120,80,96,47.0,452.0
BCI-IV-2b,1,official,official[0→1],2,1.0,0.1,pruned,0.2,False,inf,oplb,,0.0,0.5,120,44,96,48.0,455.0
BCI-IV-2b,1,official,official[0→1],3,1.0,0.1,pruned,0.2,False,inf,oplb,,0.0167,0.5083,120,74,96,50.0,362.0
BCI-IV-2b,1,official,official[0→1],42,1.0,0.1,pruned,0.2,False,inf,oplb,,0.1,0.55,120,72,96,38.0,456.0
BCI-IV-2b,1,official,official[0→1],0,1.0,0.1,pruned,0.3,True,inf,oplb,,0.1333,0.5667,120,68,84,44.0,444.0
BCI-IV-2b,1,official,official[0→1],1,1.0,0.1,pruned,0.3,True,inf,oplb,,-0.15,0.425,120,60,84,36.0,418.0
BCI-IV-2b,1,official,official[0→1],2,1.0,0.1,pruned,0.3,True,inf,oplb,,0.2,0.6,120,88,84,39.0,360.0
BCI-IV-2b,1,official,official[0→1],3,1.0,0.1,pruned,0.3,True,inf,oplb,,0.1333,0.5667,120,90,84,38.0,360.0
BCI-IV-2b,1,official,official[0→1],42,1.0,0.1,pruned,0.3,True,inf,oplb,,-0.0333,0.4833,120,52,84,48.0,379.0
BCI-IV-2b,1,official,official[0→1],0,1.0,0.1,pruned,0.3,False,inf,oplb,,0.1333,0.5667,120,68,84,44.0,444.0
BCI-IV-2b,1,official,official[0→1],1,1.0,0.1,pruned,0.3,False,inf,oplb,,0.1667,0.5833,120,60,84,28.0,361.0
BCI-IV-2b,1,official,official[0→1],2,1.0,0.1,pruned,0.3,False,inf,oplb,,0.2,0.6,120,88,84,39.0,360.0
BCI-IV-2b,1,official,official[0→1],3,1.0,0.1,pruned,0.3,False,inf,oplb,,0.1333,0.5667,120,90,84,38.0,360.0
BCI-IV-2b,1,official,official[0→1],42,1.0,0.1,pruned,0.3,False,inf,oplb,,-0.0333,0.4833,120,52,84,46.0,368.0
BCI-IV-2b,1,official,official[0→1],0,1.0,0.5,pruned,0.2,True,inf,oplb,,0.0667,0.5333,120,68,96,46.0,419.0
BCI-IV-2b,1,official,official[0→1],1,1.0,0.5,pruned,0.2,True,inf,oplb,,0.15,0.575,120,80,96,45.0,384.0
BCI-IV-2b,1,official,official[0→1],2,1.0,0.5,pruned,0.2,True,inf,oplb,,0.1833,0.5917,120,44,96,44.0,386.0
BCI-IV-2b,1,official,official[0→1],3,1.0,0.5,pruned,0.2,True,inf,oplb,,0.1167,0.5583,120,74,96,48.0,364.0
BCI-IV-2b,1,official,official[0→1],42,1.0,0.5,pruned,0.2,True,inf,oplb,,-0.1167,0.4417,120,72,96,51.0,370.0
BCI-IV-2b,1,official,official[0→1],0,1.0,0.5,pruned,0.2,False,inf,oplb,,0.0667,0.5333,120,68,96,45.0,416.0
BCI-IV-2b,1,official,official[0→1],1,1.0,0.5,pruned,0.2,False,inf,oplb,,0.15,0.575,120,80,96,42.0,371.0
BCI-IV-2b,1,official,official[0→1],2,1.0,0.5,pruned,0.2,False,inf,oplb,,0.1833,0.5917,120,44,96,47.0,379.0
BCI-IV-2b,1,official,official[0→1],3,1.0,0.5,pruned,0.2,False,inf,oplb,,0.1667,0.5833,120,74,96,47.0,368.0
BCI-IV-2b,1,official,official[0→1],42,1.0,0.5,pruned,0.2,False,inf,oplb,,0.0667,0.5333,120,72,96,52.0,378.0
BCI-IV-2b,1,official,official[0→1],0,1.0,0.5,pruned,0.3,True,inf,oplb,,0.2333,0.6167,120,68,84,41.0,388.0
BCI-IV-2b,1,official,official[0→1],1,1.0,0.5,pruned,0.3,True,inf,oplb,,-0.0167,0.4917,120,60,84,46.0,384.0
BCI-IV-2b,1,official,official[0→1],2,1.0,0.5,pruned,0.3,True,inf,oplb,,-0.0667,0.4667,120,88,84,49.0,436.0
BCI-IV-2b,1,official,official[0→1],3,1.0,0.5,pruned,0.3,True,inf,oplb,,0.1333,0.5667,120,90,84,43.0,370.0
BCI-IV-2b,1,official,official[0→1],42,1.0,0.5,pruned,0.3,True,inf,oplb,,-0.0667,0.4667,120,52,84,48.0,408.0
BCI-IV-2b,1,official,official[0→1],0,1.0,0.5,pruned,0.3,False,inf,oplb,,0.0,0.5,120,68,84,45.0,370.0
BCI-IV-2b,1,official,official[0→1],1,1.0,0.5,pruned,0.3,False,inf,oplb,,0.1667,0.5833,120,60,84,42.0,398.0
BCI-IV-2b,1,official,official[0→1],2,1.0,0.5,pruned,0.3,False,inf,oplb,,-0.0667,0.4667,120,88,84,49.0,435.0
BCI-IV-2b,1,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,oplb,,-0.0333,0.4833,120,90,84,42.0,360.0
BCI-IV-2b,1,official,official[0→1],42,1.0,0.5,pruned,0.3,False,inf,oplb,,-0.0333,0.4833,120,52,84,36.0,376.0
BCI-IV-2b,1,official,official[0→1],0,1.0,1.0,pruned,0.2,True,inf,oplb,,0.0667,0.5333,120,68,96,46.0,392.0
BCI-IV-2b,1,official,official[0→1],1,1.0,1.0,pruned,0.2,True,inf,oplb,,0.0167,0.5083,120,80,96,39.0,398.0
BCI-IV-2b,1,official,official[0→1],2,1.0,1.0,pruned,0.2,True,inf,oplb,,0.0667,0.5333,120,44,96,42.0,389.0
BCI-IV-2b,1,official,official[0→1],3,1.0,1.0,pruned,0.2,True,inf,oplb,,0.0333,0.5167,120,74,96,48.0,384.0
BCI-IV-2b,1,official,official[0→1],42,1.0,1.0,pruned,0.2,True,inf,oplb,,0.0833,0.5417,120,72,96,44.0,396.0
BCI-IV-2b,1,official,official[0→1],0,1.0,1.0,pruned,0.2,False,inf,oplb,,0.1667,0.5833,120,68,96,49.0,395.0
