dataset,subject,protocol,fold_name,seed,alpha,calibration_frac,window_size,per_round_cap,n_components,include_riemann_arms,epoch_seconds,context,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,error
WAUC,3,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,0.5224628771398846,0.7843137254901961,153,80,367,106.0,
WAUC,3,within,within_fold0,42,0.5,0.3,100,inf,4,False,4.0,workload,0.5224628771398846,0.7843137254901961,153,80,420,126.0,
WAUC,4,within,within_fold0,0,0.5,0.3,inf,inf,4,False,4.0,workload,0.34782608695652173,0.6739130434782609,184,94,513,182.0,
WAUC,4,within,within_fold0,0,0.5,0.3,25,inf,4,False,4.0,workload,0.2934782608695652,0.6467391304347826,184,94,513,156.0,
WAUC,4,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,0.3586956521739131,0.6793478260869565,184,94,513,176.0,
WAUC,4,within,within_fold0,0,0.5,0.3,100,inf,4,False,4.0,workload,0.2934782608695652,0.6467391304347826,184,94,513,176.0,
WAUC,4,within,within_fold0,1,0.5,0.3,inf,inf,4,False,4.0,workload,0.3586956521739131,0.6793478260869565,184,100,513,187.0,
WAUC,4,within,within_fold0,1,0.5,0.3,25,inf,4,False,4.0,workload,0.3586956521739131,0.6793478260869565,184,100,513,165.0,
WAUC,4,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,0.4782608695652174,0.7391304347826086,184,100,513,162.0,
WAUC,4,within,within_fold0,1,0.5,0.3,100,inf,4,False,4.0,workload,0.32608695652173914,0.6630434782608695,184,100,513,170.0,
WAUC,4,within,within_fold0,2,0.5,0.3,inf,inf,4,False,4.0,workload,0.42391304347826086,0.7119565217391305,184,98,494,175.0,
WAUC,4,within,within_fold0,2,0.5,0.3,25,inf,4,False,4.0,workload,0.42391304347826086,0.7119565217391305,184,98,513,161.0,
WAUC,4,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,0.18478260869565222,0.592391304347826,184,98,513,176.0,
WAUC,4,within,within_fold0,2,0.5,0.3,100,inf,4,False,4.0,workload,0.42391304347826086,0.7119565217391305,184,98,500,153.0,
WAUC,4,within,within_fold0,3,0.5,0.3,inf,inf,4,False,4.0,workload,0.40217391304347827,0.7010869565217391,184,100,470,170.0,
WAUC,4,within,within_fold0,3,0.5,0.3,25,inf,4,False,4.0,workload,0.44565217391304346,0.7228260869565217,184,100,513,167.0,
WAUC,4,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,0.3152173913043478,0.657608695652174,184,100,513,159.0,
WAUC,4,within,within_fold0,3,0.5,0.3,100,inf,4,False,4.0,workload,0.44565217391304346,0.7228260869565217,184,100,513,176.0,
WAUC,4,within,within_fold0,42,0.5,0.3,inf,inf,4,False,4.0,workload,0.5652173913043479,0.782608695652174,184,96,466,174.0,
WAUC,4,within,within_fold0,42,0.5,0.3,25,inf,4,False,4.0,workload,0.26086956521739135,0.6304347826086957,184,96,513,153.0,
WAUC,4,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,0.5652173913043479,0.782608695652174,184,96,513,156.0,
WAUC,4,within,within_fold0,42,0.5,0.3,100,inf,4,False,4.0,workload,0.5652173913043479,0.782608695652174,184,96,498,151.0,
WAUC,5,within,within_fold0,0,0.5,0.3,inf,inf,4,False,4.0,workload,0.6467456637472093,0.8235294117647058,187,100,521,116.0,
WAUC,5,within,within_fold0,0,0.5,0.3,25,inf,4,False,4.0,workload,0.5716903344021989,0.786096256684492,187,100,521,98.0,
