dataset,feature_family,classifier,subject,protocol,fold,seed,kappa,accuracy,n_train,n_test,n_channels,error
STEW,bandpower,random_forest,4,within,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,lda,6,within,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,svm,6,within,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,decision_tree,6,within,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,random_forest,6,within,0,42,1.0,1.0,59,15,14,
STEW,bandpower,lda,6,within,0,42,1.0,1.0,59,15,14,
STEW,bandpower,svm,6,within,0,42,1.0,1.0,59,15,14,
STEW,bandpower,decision_tree,6,within,0,42,0.736842105263158,0.8666666666666667,59,15,14,
STEW,bandpower,random_forest,6,within,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,lda,6,within,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,svm,6,within,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,decision_tree,6,within,1,42,0.736842105263158,0.8666666666666667,59,15,14,
STEW,fbcsp,random_forest,6,within,1,42,1.0,1.0,59,15,14,
STEW,bandpower,lda,6,within,1,42,1.0,1.0,59,15,14,
STEW,bandpower,svm,6,within,1,42,1.0,1.0,59,15,14,
STEW,bandpower,decision_tree,6,within,1,42,1.0,1.0,59,15,14,
STEW,bandpower,random_forest,6,within,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,lda,6,within,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,svm,6,within,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,decision_tree,6,within,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,random_forest,6,within,2,42,1.0,1.0,59,15,14,
STEW,bandpower,lda,6,within,2,42,1.0,1.0,59,15,14,
STEW,bandpower,svm,6,within,2,42,1.0,1.0,59,15,14,
STEW,bandpower,decision_tree,6,within,2,42,1.0,1.0,59,15,14,
STEW,bandpower,random_forest,6,within,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,lda,6,within,3,42,1.0,1.0,59,15,14,
