dataset,subject,protocol,fold_name,seed,budget_frac,alpha,arm_pool,calibration_frac,include_recent_rewards,per_round_cap,policy,epsilon,online_heads,window_size,discount_gamma,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,2,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,-0.25,0.375,48,86,134,60.0,197.0
BCI-IV-2b,2,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,ts,,False,50,1.0,0.1667,0.5833,48,48,134,64.0,162.0
BCI-IV-2b,2,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,ts,,False,50,1.0,0.0417,0.5208,48,78,134,68.0,220.0
BCI-IV-2b,2,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,ts,,False,50,1.0,0.0417,0.5208,48,54,134,71.0,257.0
BCI-IV-2b,2,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,ts,,False,50,1.0,-0.125,0.4375,48,78,134,68.0,199.0
BCI-IV-2b,2,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,ts,,False,50,1.0,0.0833,0.5417,48,86,134,61.0,198.0
BCI-IV-2b,2,official,official[0→1],0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.0833,0.5417,120,94,84,48.0,379.0
BCI-IV-2b,2,official,official[0→1],1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.0,0.5,120,62,84,48.0,397.0
BCI-IV-2b,2,official,official[0→1],2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.0833,0.5417,120,58,84,46.0,369.0
BCI-IV-2b,2,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.0833,0.5417,120,56,84,41.0,383.0
BCI-IV-2b,2,official,official[0→1],42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.0333,0.5167,120,60,84,39.0,360.0
BCI-IV-2b,2,official,official[0→1],0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,0.0667,0.5333,120,94,84,47.0,371.0
BCI-IV-2b,2,official,official[0→1],1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,0.0167,0.5083,120,62,84,50.0,404.0
BCI-IV-2b,2,official,official[0→1],2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,0.1,0.55,120,58,84,42.0,365.0
BCI-IV-2b,2,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,0.0833,0.5417,120,56,84,44.0,387.0
BCI-IV-2b,2,official,official[0→1],42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,0.0833,0.5417,120,60,84,37.0,360.0
BCI-IV-2b,2,official,official[0→1],0,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,0.0667,0.5333,120,94,84,41.0,382.0
BCI-IV-2b,2,official,official[0→1],1,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,0.0167,0.5083,120,62,84,39.0,388.0
BCI-IV-2b,2,official,official[0→1],2,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,-0.0167,0.4917,120,58,84,43.0,369.0
BCI-IV-2b,2,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,0.1333,0.5667,120,56,84,41.0,408.0
BCI-IV-2b,2,official,official[0→1],42,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,0.0333,0.5167,120,60,84,42.0,383.0
BCI-IV-2b,2,official,official[0→1],0,1.0,0.5,pruned,0.3,False,inf,ts,,False,50,1.0,0.0167,0.5083,120,94,84,41.0,386.0
BCI-IV-2b,2,official,official[0→1],1,1.0,0.5,pruned,0.3,False,inf,ts,,False,50,1.0,0.15,0.575,120,62,84,42.0,367.0
BCI-IV-2b,2,official,official[0→1],2,1.0,0.5,pruned,0.3,False,inf,ts,,False,50,1.0,0.05,0.525,120,58,84,42.0,368.0
BCI-IV-2b,2,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,ts,,False,50,1.0,0.1167,0.5583,120,56,84,39.0,406.0
BCI-IV-2b,2,official,official[0→1],42,1.0,0.5,pruned,0.3,False,inf,ts,,False,50,1.0,0.0,0.5,120,60,84,42.0,383.0
BCI-IV-2b,3,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,-0.0417,0.4792,48,46,134,70.0,170.0
BCI-IV-2b,3,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.0833,0.5417,48,86,134,67.0,222.0
