dataset,subject,protocol,fold_name,seed,budget_frac,alpha,arm_pool,calibration_frac,include_recent_rewards,per_round_cap,policy,epsilon,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,1,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,eps_greedy,0.1,-0.0167,0.4917,120,52,84,44.0,363.0
BCI-IV-2b,1,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,unconstrained,,0.0167,0.5083,120,68,84,42.0,inf
BCI-IV-2b,1,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,unconstrained,,0.1667,0.5833,120,60,84,46.0,inf
BCI-IV-2b,1,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,unconstrained,,0.0667,0.5333,120,88,84,38.0,inf
BCI-IV-2b,1,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,unconstrained,,-0.0167,0.4917,120,90,84,40.0,inf
BCI-IV-2b,1,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,unconstrained,,-0.1,0.45,120,52,84,36.0,inf
BCI-IV-2b,2,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,oplb,,-0.0833,0.4583,48,48,134,72.0,200.0
BCI-IV-2b,2,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,oplb,,-0.0417,0.4792,48,78,134,69.0,189.0
BCI-IV-2b,2,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,oplb,,0.1667,0.5833,48,54,134,70.0,188.0
BCI-IV-2b,2,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,oplb,,0.0417,0.5208,48,78,134,66.0,197.0
BCI-IV-2b,2,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,oplb,,-0.25,0.375,48,86,134,63.0,175.0
BCI-IV-2b,2,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,fixed,,-0.2083,0.3958,48,48,134,73.0,144.0
BCI-IV-2b,2,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,fixed,,-0.2917,0.3542,48,78,134,72.0,278.0
BCI-IV-2b,2,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,fixed,,-0.0833,0.4583,48,54,134,70.0,278.0
BCI-IV-2b,2,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,fixed,,-0.0417,0.4792,48,78,134,71.0,144.0
BCI-IV-2b,2,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,fixed,,-0.25,0.375,48,86,134,75.0,144.0
BCI-IV-2b,2,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,eps_greedy,0.1,0.125,0.5625,48,48,134,73.0,162.0
BCI-IV-2b,2,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,eps_greedy,0.1,-0.2083,0.3958,48,78,134,74.0,181.0
BCI-IV-2b,2,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,eps_greedy,0.1,-0.0833,0.4583,48,54,134,67.0,190.0
BCI-IV-2b,2,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,eps_greedy,0.1,0.0,0.5,48,78,134,68.0,236.0
BCI-IV-2b,2,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,eps_greedy,0.1,0.2917,0.6458,48,86,134,71.0,156.0
BCI-IV-2b,2,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,unconstrained,,-0.0833,0.4583,48,48,134,72.0,inf
BCI-IV-2b,2,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,unconstrained,,-0.0417,0.4792,48,78,134,69.0,inf
BCI-IV-2b,2,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,unconstrained,,0.1667,0.5833,48,54,134,70.0,inf
BCI-IV-2b,2,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,unconstrained,,0.0417,0.5208,48,78,134,66.0,inf
BCI-IV-2b,2,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,unconstrained,,-0.25,0.375,48,86,134,63.0,inf
