dataset,subject,protocol,fold_name,seed,budget_frac,alpha,arm_pool,calibration_frac,include_recent_rewards,per_round_cap,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,7,within,within_fold0,1,1.0,1.0,pruned,0.3,False,inf,-0.1667,0.4167,48,98,134,59.0,172.0
BCI-IV-2b,7,within,within_fold0,2,1.0,1.0,pruned,0.3,False,inf,0.0833,0.5417,48,62,134,65.0,193.0
BCI-IV-2b,7,within,within_fold0,3,1.0,1.0,pruned,0.3,False,inf,0.1667,0.5833,48,52,134,58.0,181.0
BCI-IV-2b,7,within,within_fold0,42,1.0,1.0,pruned,0.3,False,inf,0.0417,0.5208,48,98,134,72.0,200.0
BCI-IV-2b,7,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,0.1167,0.5583,120,100,84,48.0,379.0
BCI-IV-2b,7,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,-0.0167,0.4917,120,96,84,42.0,376.0
BCI-IV-2b,7,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,0.2667,0.6333,120,47,84,35.0,373.0
BCI-IV-2b,7,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,0.0333,0.5167,120,62,84,40.0,378.0
BCI-IV-2b,7,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,0.2167,0.6083,120,40,84,38.0,381.0
BCI-IV-2b,7,official,official[0→1],0,1.0,1.0,pruned,0.3,False,inf,-0.05,0.475,120,100,84,47.0,386.0
BCI-IV-2b,7,official,official[0→1],1,1.0,1.0,pruned,0.3,False,inf,-0.0167,0.4917,120,96,84,39.0,382.0
BCI-IV-2b,7,official,official[0→1],2,1.0,1.0,pruned,0.3,False,inf,0.3333,0.6667,120,47,84,40.0,375.0
BCI-IV-2b,7,official,official[0→1],3,1.0,1.0,pruned,0.3,False,inf,0.4167,0.7083,120,62,84,41.0,377.0
BCI-IV-2b,7,official,official[0→1],42,1.0,1.0,pruned,0.3,False,inf,-0.1,0.45,120,40,84,46.0,380.0
BCI-IV-2b,8,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,-0.0357,0.4821,56,44,157,73.0,239.0
BCI-IV-2b,8,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,0.0357,0.5179,56,56,157,71.0,212.0
BCI-IV-2b,8,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,-0.0714,0.4643,56,62,157,77.0,223.0
BCI-IV-2b,8,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,-0.0357,0.4821,56,82,157,71.0,215.0
BCI-IV-2b,8,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,0.3571,0.6786,56,48,157,74.0,202.0
BCI-IV-2b,8,within,within_fold0,0,1.0,1.0,pruned,0.3,False,inf,0.0357,0.5179,56,44,157,72.0,218.0
BCI-IV-2b,8,within,within_fold0,1,1.0,1.0,pruned,0.3,False,inf,0.0357,0.5179,56,56,157,76.0,207.0
BCI-IV-2b,8,within,within_fold0,2,1.0,1.0,pruned,0.3,False,inf,0.25,0.625,56,62,157,72.0,208.0
BCI-IV-2b,8,within,within_fold0,3,1.0,1.0,pruned,0.3,False,inf,0.1071,0.5536,56,82,157,65.0,224.0
BCI-IV-2b,8,within,within_fold0,42,1.0,1.0,pruned,0.3,False,inf,0.3571,0.6786,56,48,157,79.0,221.0
BCI-IV-2b,8,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,0.1333,0.5667,120,90,112,56.0,391.0
BCI-IV-2b,8,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,-0.0333,0.4833,120,78,112,47.0,387.0
BCI-IV-2b,8,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,0.05,0.525,120,68,112,57.0,392.0
BCI-IV-2b,8,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,-0.0333,0.4833,120,54,112,52.0,373.0
BCI-IV-2b,8,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,-0.1833,0.4083,120,64,112,53.0,393.0
BCI-IV-2b,8,official,official[0→1],0,1.0,1.0,pruned,0.3,False,inf,0.0667,0.5333,120,90,112,59.0,392.0
BCI-IV-2b,8,official,official[0→1],1,1.0,1.0,pruned,0.3,False,inf,0.25,0.625,120,78,112,56.0,387.0
BCI-IV-2b,8,official,official[0→1],2,1.0,1.0,pruned,0.3,False,inf,0.0,0.5,120,68,112,59.0,388.0
BCI-IV-2b,8,official,official[0→1],3,1.0,1.0,pruned,0.3,False,inf,-0.1167,0.4417,120,54,112,54.0,369.0
BCI-IV-2b,8,official,official[0→1],42,1.0,1.0,pruned,0.3,False,inf,0.1,0.55,120,64,112,47.0,402.0
BCI-IV-2b,9,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,0.4583,0.7292,48,62,134,68.0,184.0
BCI-IV-2b,9,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,0.125,0.5625,48,80,134,66.0,204.0
BCI-IV-2b,9,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,0.0833,0.5417,48,74,134,67.0,185.0
BCI-IV-2b,9,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,0.125,0.5625,48,62,134,65.0,198.0
BCI-IV-2b,9,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,0.0833,0.5417,48,94,134,60.0,194.0
BCI-IV-2b,9,within,within_fold0,0,1.0,1.0,pruned,0.3,False,inf,0.25,0.625,48,62,134,75.0,177.0
BCI-IV-2b,9,within,within_fold0,1,1.0,1.0,pruned,0.3,False,inf,0.125,0.5625,48,80,134,61.0,195.0
BCI-IV-2b,9,within,within_fold0,2,1.0,1.0,pruned,0.3,False,inf,0.1667,0.5833,48,74,134,67.0,180.0
BCI-IV-2b,9,within,within_fold0,3,1.0,1.0,pruned,0.3,False,inf,0.0833,0.5417,48,62,134,64.0,199.0
BCI-IV-2b,9,within,within_fold0,42,1.0,1.0,pruned,0.3,False,inf,0.25,0.625,48,94,134,61.0,183.0
BCI-IV-2b,9,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,0.1333,0.5667,120,52,84,46.0,373.0
BCI-IV-2b,9,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,0.0167,0.5083,120,44,84,28.0,386.0
BCI-IV-2b,9,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,0.1333,0.5667,120,96,84,37.0,386.0
BCI-IV-2b,9,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,0.0,0.5,120,56,84,36.0,375.0
BCI-IV-2b,9,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,0.2167,0.6083,120,52,84,38.0,371.0
BCI-IV-2b,9,official,official[0→1],0,1.0,1.0,pruned,0.3,False,inf,0.1167,0.5583,120,52,84,42.0,377.0
BCI-IV-2b,9,official,official[0→1],1,1.0,1.0,pruned,0.3,False,inf,0.1333,0.5667,120,44,84,33.0,378.0
BCI-IV-2b,9,official,official[0→1],2,1.0,1.0,pruned,0.3,False,inf,-0.0667,0.4667,120,96,84,44.0,391.0
BCI-IV-2b,9,official,official[0→1],3,1.0,1.0,pruned,0.3,False,inf,0.0,0.5,120,56,84,41.0,381.0
BCI-IV-2b,9,official,official[0→1],42,1.0,1.0,pruned,0.3,False,inf,0.0,0.5,120,52,84,42.0,378.0
