dataset,subject,protocol,fold_name,seed,budget_frac,alpha,arm_pool,calibration_frac,include_recent_rewards,per_round_cap,policy,epsilon,online_heads,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,6,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.2083,0.6042,48,70,134,64.0,174.0
BCI-IV-2b,6,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0,0.5,120,80,84,36.0,386.0
BCI-IV-2b,6,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0167,0.5083,120,72,84,42.0,396.0
BCI-IV-2b,6,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.05,0.525,120,78,84,33.0,380.0
BCI-IV-2b,6,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.1833,0.5917,120,80,84,49.0,381.0
BCI-IV-2b,6,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.1167,0.5583,120,72,84,33.0,388.0
BCI-IV-2b,7,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0417,0.5208,48,88,134,72.0,179.0
BCI-IV-2b,7,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0,0.5,48,98,134,59.0,172.0
BCI-IV-2b,7,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0,0.5,48,62,134,56.0,190.0
BCI-IV-2b,7,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.2917,0.6458,48,52,134,60.0,185.0
BCI-IV-2b,7,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0,0.5,48,98,134,68.0,188.0
BCI-IV-2b,7,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.3833,0.6917,120,100,84,37.0,385.0
BCI-IV-2b,7,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.05,0.525,120,96,84,38.0,379.0
BCI-IV-2b,7,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.3333,0.6667,120,47,84,37.0,373.0
BCI-IV-2b,7,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.1667,0.5833,120,62,84,41.0,376.0
BCI-IV-2b,7,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.05,0.525,120,40,84,39.0,376.0
BCI-IV-2b,8,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0714,0.5357,56,44,157,81.0,234.0
BCI-IV-2b,8,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0714,0.5357,56,56,157,75.0,214.0
BCI-IV-2b,8,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.1429,0.5714,56,62,157,75.0,207.0
BCI-IV-2b,8,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0714,0.5357,56,82,157,77.0,213.0
BCI-IV-2b,8,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0714,0.5357,56,48,157,77.0,216.0
BCI-IV-2b,8,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0,0.5,120,90,112,56.0,393.0
BCI-IV-2b,8,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,True,-0.0333,0.4833,120,78,112,55.0,390.0
BCI-IV-2b,8,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0833,0.5417,120,68,112,52.0,394.0
BCI-IV-2b,8,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.1167,0.5583,120,54,112,45.0,368.0
BCI-IV-2b,8,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.1833,0.5917,120,64,112,51.0,398.0
BCI-IV-2b,9,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.2083,0.6042,48,62,134,66.0,174.0
BCI-IV-2b,9,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.25,0.625,48,80,134,65.0,198.0
BCI-IV-2b,9,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0,0.5,48,74,134,67.0,185.0
BCI-IV-2b,9,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0417,0.5208,48,62,134,64.0,193.0
BCI-IV-2b,9,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,oplb,,True,-0.1667,0.4167,48,94,134,58.0,186.0
BCI-IV-2b,9,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.1667,0.5833,120,52,84,42.0,377.0
BCI-IV-2b,9,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0,0.5,120,44,84,33.0,380.0
BCI-IV-2b,9,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0667,0.5333,120,96,84,44.0,388.0
BCI-IV-2b,9,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0,0.5,120,56,84,39.0,375.0
BCI-IV-2b,9,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.1,0.55,120,52,84,34.0,378.0
